REGIONGROUP,EMISSION,YEAR,VALUE
GBL,CO2EQ,2020,1
GBL,CO2EQ,2021,1
GBL,CO2EQ,2022,1
GBL,CO2EQ,2023,1
GBL,CO2EQ,2024,1
GBL,CO2EQ,2025,1
GBL,CO2EQ,2026,1
GBL,CO2EQ,2027,1
GBL,CO2EQ,2028,1
GBL,CO2EQ,2029,1
GBL,CO2EQ,2030,1
GBL,CO2EQ,2031,1
GBL,CO2EQ,2032,1
GBL,CO2EQ,2033,1
GBL,CO2EQ,2034,1
GBL,CO2EQ,2035,1
GBL,CO2EQ,2036,1
GBL,CO2EQ,2037,1
GBL,CO2EQ,2038,1
GBL,CO2EQ,2039,1
GBL,CO2EQ,2040,1
GBL,CO2EQ,2041,1
GBL,CO2EQ,2042,1
GBL,CO2EQ,2043,1
GBL,CO2EQ,2044,1
GBL,CO2EQ,2045,1
GBL,CO2EQ,2046,1
GBL,CO2EQ,2047,1
GBL,CO2EQ,2048,1
GBL,CO2EQ,2049,1
GBL,CO2EQ,2050,1
GBL,CO2EQ,2051,1
GBL,CO2EQ,2052,1
GBL,CO2EQ,2053,1
GBL,CO2EQ,2054,1
GBL,CO2EQ,2055,1
GBL,CO2EQ,2056,1
GBL,CO2EQ,2057,1
GBL,CO2EQ,2058,1
GBL,CO2EQ,2059,1
GBL,CO2EQ,2060,1
GBL,CO2EQ,2061,1
GBL,CO2EQ,2062,1
GBL,CO2EQ,2063,1
GBL,CO2EQ,2064,1
GBL,CO2EQ,2065,1
GBL,CO2EQ,2066,1
GBL,CO2EQ,2067,1
GBL,CO2EQ,2068,1
GBL,CO2EQ,2069,1
GBL,CO2EQ,2070,1
