REGION,STORAGE,YEAR,VALUE
R2,STO,2020,100
R2,STO,2021,100
R2,STO,2022,100
R2,STO,2023,100
R2,STO,2024,100
R2,STO,2025,100
R2,STO,2026,100
R2,STO,2027,100
R2,STO,2028,100
R2,STO,2029,100
R2,STO,2030,100
R2,STO,2031,100
R2,STO,2032,100
R2,STO,2033,100
R2,STO,2034,100
R2,STO,2035,100
R2,STO,2036,100
R2,STO,2037,100
R2,STO,2038,100
R2,STO,2039,100
R2,STO,2040,100
R2,STO,2041,100
R2,STO,2042,100
R2,STO,2043,100
R2,STO,2044,100
R2,STO,2045,100
R2,STO,2046,100
R2,STO,2047,100
R2,STO,2048,100
R2,STO,2049,100
R2,STO,2050,100
R2,STO,2051,100
R2,STO,2052,100
R2,STO,2053,100
R2,STO,2054,100
R2,STO,2055,100
R2,STO,2056,100
R2,STO,2057,100
R2,STO,2058,100
R2,STO,2059,100
R2,STO,2060,100
R2,STO,2061,100
R2,STO,2062,100
R2,STO,2063,100
R2,STO,2064,100
R2,STO,2065,100
R2,STO,2066,100
R2,STO,2067,100
R2,STO,2068,100
R2,STO,2069,100
R2,STO,2070,100
