REGION,TECHNOLOGY,YEAR,VALUE
R2,RNWWONNPLXX,2020,1
R2,RNWWONNPLXX,2021,1
R2,RNWWONNPLXX,2022,1
R2,RNWWONNPLXX,2023,1
R2,RNWWONNPLXX,2024,1
R2,RNWWONNPLXX,2025,1
R2,RNWWONNPLXX,2026,1
R2,RNWWONNPLXX,2027,1
R2,RNWWONNPLXX,2028,1
R2,RNWWONNPLXX,2029,1
R2,RNWWONNPLXX,2030,1
R2,RNWWONNPLXX,2031,1
R2,RNWWONNPLXX,2032,1
R2,RNWWONNPLXX,2033,1
R2,RNWWONNPLXX,2034,1
R2,RNWWONNPLXX,2035,1
R2,RNWWONNPLXX,2036,1
R2,RNWWONNPLXX,2037,1
R2,RNWWONNPLXX,2038,1
R2,RNWWONNPLXX,2039,1
R2,RNWWONNPLXX,2040,1
R2,RNWWONNPLXX,2041,1
R2,RNWWONNPLXX,2042,1
R2,RNWWONNPLXX,2043,1
R2,RNWWONNPLXX,2044,1
R2,RNWWONNPLXX,2045,1
R2,RNWWONNPLXX,2046,1
R2,RNWWONNPLXX,2047,1
R2,RNWWONNPLXX,2048,1
R2,RNWWONNPLXX,2049,1
R2,RNWWONNPLXX,2050,1
R2,RNWWONNPLXX,2051,1
R2,RNWWONNPLXX,2052,1
R2,RNWWONNPLXX,2053,1
R2,RNWWONNPLXX,2054,1
R2,RNWWONNPLXX,2055,1
R2,RNWWONNPLXX,2056,1
R2,RNWWONNPLXX,2057,1
R2,RNWWONNPLXX,2058,1
R2,RNWWONNPLXX,2059,1
R2,RNWWONNPLXX,2060,1
R2,RNWWONNPLXX,2061,1
R2,RNWWONNPLXX,2062,1
R2,RNWWONNPLXX,2063,1
R2,RNWWONNPLXX,2064,1
R2,RNWWONNPLXX,2065,1
R2,RNWWONNPLXX,2066,1
R2,RNWWONNPLXX,2067,1
R2,RNWWONNPLXX,2068,1
R2,RNWWONNPLXX,2069,1
R2,RNWWONNPLXX,2070,1
R2,RNWWOFNPLXX,2020,1
R2,RNWWOFNPLXX,2021,1
R2,RNWWOFNPLXX,2022,1
R2,RNWWOFNPLXX,2023,1
R2,RNWWOFNPLXX,2024,1
R2,RNWWOFNPLXX,2025,1
R2,RNWWOFNPLXX,2026,1
R2,RNWWOFNPLXX,2027,1
R2,RNWWOFNPLXX,2028,1
R2,RNWWOFNPLXX,2029,1
R2,RNWWOFNPLXX,2030,1
R2,RNWWOFNPLXX,2031,1
R2,RNWWOFNPLXX,2032,1
R2,RNWWOFNPLXX,2033,1
R2,RNWWOFNPLXX,2034,1
R2,RNWWOFNPLXX,2035,1
R2,RNWWOFNPLXX,2036,1
R2,RNWWOFNPLXX,2037,1
R2,RNWWOFNPLXX,2038,1
R2,RNWWOFNPLXX,2039,1
R2,RNWWOFNPLXX,2040,1
R2,RNWWOFNPLXX,2041,1
R2,RNWWOFNPLXX,2042,1
R2,RNWWOFNPLXX,2043,1
R2,RNWWOFNPLXX,2044,1
R2,RNWWOFNPLXX,2045,1
R2,RNWWOFNPLXX,2046,1
R2,RNWWOFNPLXX,2047,1
R2,RNWWOFNPLXX,2048,1
R2,RNWWOFNPLXX,2049,1
R2,RNWWOFNPLXX,2050,1
R2,RNWWOFNPLXX,2051,1
R2,RNWWOFNPLXX,2052,1
R2,RNWWOFNPLXX,2053,1
R2,RNWWOFNPLXX,2054,1
R2,RNWWOFNPLXX,2055,1
R2,RNWWOFNPLXX,2056,1
R2,RNWWOFNPLXX,2057,1
R2,RNWWOFNPLXX,2058,1
R2,RNWWOFNPLXX,2059,1
R2,RNWWOFNPLXX,2060,1
R2,RNWWOFNPLXX,2061,1
R2,RNWWOFNPLXX,2062,1
R2,RNWWOFNPLXX,2063,1
R2,RNWWOFNPLXX,2064,1
R2,RNWWOFNPLXX,2065,1
R2,RNWWOFNPLXX,2066,1
R2,RNWWOFNPLXX,2067,1
R2,RNWWOFNPLXX,2068,1
R2,RNWWOFNPLXX,2069,1
R2,RNWWOFNPLXX,2070,1
