REGION,YEAR,VALUE
R2,2020,1.1
R2,2021,1.1
R2,2022,1.1
R2,2023,1.1
R2,2024,1.1
R2,2025,1.1
R2,2026,1.1
R2,2027,1.1
R2,2028,1.1
R2,2029,1.1
R2,2030,1.1
R2,2031,1.1
R2,2032,1.1
R2,2033,1.1
R2,2034,1.1
R2,2035,1.1
R2,2036,1.1
R2,2037,1.1
R2,2038,1.1
R2,2039,1.1
R2,2040,1.1
R2,2041,1.1
R2,2042,1.1
R2,2043,1.1
R2,2044,1.1
R2,2045,1.1
R2,2046,1.1
R2,2047,1.1
R2,2048,1.1
R2,2049,1.1
R2,2050,1.1
R2,2051,1.1
R2,2052,1.1
R2,2053,1.1
R2,2054,1.1
R2,2055,1.1
R2,2056,1.1
R2,2057,1.1
R2,2058,1.1
R2,2059,1.1
R2,2060,1.1
R2,2061,1.1
R2,2062,1.1
R2,2063,1.1
R2,2064,1.1
R2,2065,1.1
R2,2066,1.1
R2,2067,1.1
R2,2068,1.1
R2,2069,1.1
R2,2070,1.1
