REGION,TECHNOLOGY,YEAR,VALUE
R2,PWRCOANPLXX01,2020,1
R2,PWRCOANPLXX01,2021,1
R2,PWRCOANPLXX01,2022,1
R2,PWRCOANPLXX01,2023,1
R2,PWRCOANPLXX01,2024,1
R2,PWRCOANPLXX01,2025,1
R2,PWRCOANPLXX01,2026,1
R2,PWRCOANPLXX01,2027,1
R2,PWRCOANPLXX01,2028,1
R2,PWRCOANPLXX01,2029,1
R2,PWRCOANPLXX01,2030,1
R2,PWRCOANPLXX01,2031,1
R2,PWRCOANPLXX01,2032,1
R2,PWRCOANPLXX01,2033,1
R2,PWRCOANPLXX01,2034,1
R2,PWRCOANPLXX01,2035,1
R2,PWRCOANPLXX01,2036,1
R2,PWRCOANPLXX01,2037,1
R2,PWRCOANPLXX01,2038,1
R2,PWRCOANPLXX01,2039,1
R2,PWRCOANPLXX01,2040,1
R2,PWRCOANPLXX01,2041,1
R2,PWRCOANPLXX01,2042,1
R2,PWRCOANPLXX01,2043,1
R2,PWRCOANPLXX01,2044,1
R2,PWRCOANPLXX01,2045,1
R2,PWRCOANPLXX01,2046,1
R2,PWRCOANPLXX01,2047,1
R2,PWRCOANPLXX01,2048,1
R2,PWRCOANPLXX01,2049,1
R2,PWRCOANPLXX01,2050,1
R2,PWRCOANPLXX01,2051,1
R2,PWRCOANPLXX01,2052,1
R2,PWRCOANPLXX01,2053,1
R2,PWRCOANPLXX01,2054,1
R2,PWRCOANPLXX01,2055,1
R2,PWRCOANPLXX01,2056,1
R2,PWRCOANPLXX01,2057,1
R2,PWRCOANPLXX01,2058,1
R2,PWRCOANPLXX01,2059,1
R2,PWRCOANPLXX01,2060,1
R2,PWRCOANPLXX01,2061,1
R2,PWRCOANPLXX01,2062,1
R2,PWRCOANPLXX01,2063,1
R2,PWRCOANPLXX01,2064,1
R2,PWRCOANPLXX01,2065,1
R2,PWRCOANPLXX01,2066,1
R2,PWRCOANPLXX01,2067,1
R2,PWRCOANPLXX01,2068,1
R2,PWRCOANPLXX01,2069,1
R2,PWRCOANPLXX01,2070,1
R2,PWRCCGNPLXX00,2020,1
R2,PWRCCGNPLXX00,2021,1
R2,PWRCCGNPLXX00,2022,1
R2,PWRCCGNPLXX00,2023,1
R2,PWRCCGNPLXX00,2024,1
R2,PWRCCGNPLXX00,2025,1
R2,PWRCCGNPLXX00,2026,1
R2,PWRCCGNPLXX00,2027,1
R2,PWRCCGNPLXX00,2028,1
R2,PWRCCGNPLXX00,2029,1
R2,PWRCCGNPLXX00,2030,1
R2,PWRCCGNPLXX00,2031,1
R2,PWRCCGNPLXX00,2032,1
R2,PWRCCGNPLXX00,2033,1
R2,PWRCCGNPLXX00,2034,1
R2,PWRCCGNPLXX00,2035,1
R2,PWRCCGNPLXX00,2036,1
R2,PWRCCGNPLXX00,2037,1
R2,PWRCCGNPLXX00,2038,1
R2,PWRCCGNPLXX00,2039,1
R2,PWRCCGNPLXX00,2040,1
R2,PWRCCGNPLXX00,2041,1
R2,PWRCCGNPLXX00,2042,1
R2,PWRCCGNPLXX00,2043,1
R2,PWRCCGNPLXX00,2044,1
R2,PWRCCGNPLXX00,2045,1
R2,PWRCCGNPLXX00,2046,1
R2,PWRCCGNPLXX00,2047,1
R2,PWRCCGNPLXX00,2048,1
R2,PWRCCGNPLXX00,2049,1
R2,PWRCCGNPLXX00,2050,1
R2,PWRCCGNPLXX00,2051,1
R2,PWRCCGNPLXX00,2052,1
R2,PWRCCGNPLXX00,2053,1
R2,PWRCCGNPLXX00,2054,1
R2,PWRCCGNPLXX00,2055,1
R2,PWRCCGNPLXX00,2056,1
R2,PWRCCGNPLXX00,2057,1
R2,PWRCCGNPLXX00,2058,1
R2,PWRCCGNPLXX00,2059,1
R2,PWRCCGNPLXX00,2060,1
R2,PWRCCGNPLXX00,2061,1
R2,PWRCCGNPLXX00,2062,1
R2,PWRCCGNPLXX00,2063,1
R2,PWRCCGNPLXX00,2064,1
R2,PWRCCGNPLXX00,2065,1
R2,PWRCCGNPLXX00,2066,1
R2,PWRCCGNPLXX00,2067,1
R2,PWRCCGNPLXX00,2068,1
R2,PWRCCGNPLXX00,2069,1
R2,PWRCCGNPLXX00,2070,1
