REGION,TECHNOLOGY,YEAR,VALUE
R2,RNWWONNPLXX,2020,99999
R2,RNWWONNPLXX,2021,99999
R2,RNWWONNPLXX,2022,99999
R2,RNWWONNPLXX,2023,99999
R2,RNWWONNPLXX,2024,99999
R2,RNWWONNPLXX,2025,99999
R2,RNWWONNPLXX,2026,99999
R2,RNWWONNPLXX,2027,99999
R2,RNWWONNPLXX,2028,99999
R2,RNWWONNPLXX,2029,99999
R2,RNWWONNPLXX,2030,99999
R2,RNWWONNPLXX,2031,99999
R2,RNWWONNPLXX,2032,99999
R2,RNWWONNPLXX,2033,99999
R2,RNWWONNPLXX,2034,99999
R2,RNWWONNPLXX,2035,99999
R2,RNWWONNPLXX,2036,99999
R2,RNWWONNPLXX,2037,99999
R2,RNWWONNPLXX,2038,99999
R2,RNWWONNPLXX,2039,99999
R2,RNWWONNPLXX,2040,99999
R2,RNWWONNPLXX,2041,99999
R2,RNWWONNPLXX,2042,99999
R2,RNWWONNPLXX,2043,99999
R2,RNWWONNPLXX,2044,99999
R2,RNWWONNPLXX,2045,99999
R2,RNWWONNPLXX,2046,99999
R2,RNWWONNPLXX,2047,99999
R2,RNWWONNPLXX,2048,99999
R2,RNWWONNPLXX,2049,99999
R2,RNWWONNPLXX,2050,99999
R2,RNWWONNPLXX,2051,99999
R2,RNWWONNPLXX,2052,99999
R2,RNWWONNPLXX,2053,99999
R2,RNWWONNPLXX,2054,99999
R2,RNWWONNPLXX,2055,99999
R2,RNWWONNPLXX,2056,99999
R2,RNWWONNPLXX,2057,99999
R2,RNWWONNPLXX,2058,99999
R2,RNWWONNPLXX,2059,99999
R2,RNWWONNPLXX,2060,99999
R2,RNWWONNPLXX,2061,99999
R2,RNWWONNPLXX,2062,99999
R2,RNWWONNPLXX,2063,99999
R2,RNWWONNPLXX,2064,99999
R2,RNWWONNPLXX,2065,99999
R2,RNWWONNPLXX,2066,99999
R2,RNWWONNPLXX,2067,99999
R2,RNWWONNPLXX,2068,99999
R2,RNWWONNPLXX,2069,99999
R2,RNWWONNPLXX,2070,99999
