REGION,TECHNOLOGY,YEAR,VALUE
R1,PWRBIONPLXX01,2020,71.25
R1,PWRBIONPLXX01,2021,71.25
R1,PWRBIONPLXX01,2022,71.25
R1,PWRBIONPLXX01,2023,71.25
R1,PWRBIONPLXX01,2024,71.25
R1,PWRBIONPLXX01,2025,71.25
R1,PWRBIONPLXX01,2026,71.25
R1,PWRBIONPLXX01,2027,71.25
R1,PWRBIONPLXX01,2028,71.25
R1,PWRBIONPLXX01,2029,71.25
R1,PWRBIONPLXX01,2030,71.25
R1,PWRBIONPLXX01,2031,71.25
R1,PWRBIONPLXX01,2032,71.25
R1,PWRBIONPLXX01,2033,71.25
R1,PWRBIONPLXX01,2034,71.25
R1,PWRBIONPLXX01,2035,71.25
R1,PWRBIONPLXX01,2036,71.25
R1,PWRBIONPLXX01,2037,71.25
R1,PWRBIONPLXX01,2038,71.25
R1,PWRBIONPLXX01,2039,71.25
R1,PWRBIONPLXX01,2040,71.25
R1,PWRBIONPLXX01,2041,71.25
R1,PWRBIONPLXX01,2042,71.25
R1,PWRBIONPLXX01,2043,71.25
R1,PWRBIONPLXX01,2044,71.25
R1,PWRBIONPLXX01,2045,71.25
R1,PWRBIONPLXX01,2046,71.25
R1,PWRBIONPLXX01,2047,71.25
R1,PWRBIONPLXX01,2048,71.25
R1,PWRBIONPLXX01,2049,71.25
R1,PWRBIONPLXX01,2050,71.25
R1,PWRBIONPLXX01,2051,71.25
R1,PWRBIONPLXX01,2052,71.25
R1,PWRBIONPLXX01,2053,71.25
R1,PWRBIONPLXX01,2054,71.25
R1,PWRBIONPLXX01,2055,71.25
R1,PWRBIONPLXX01,2056,71.25
R1,PWRBIONPLXX01,2057,71.25
R1,PWRBIONPLXX01,2058,71.25
R1,PWRBIONPLXX01,2059,71.25
R1,PWRBIONPLXX01,2060,71.25
R1,PWRBIONPLXX01,2061,71.25
R1,PWRBIONPLXX01,2062,71.25
R1,PWRBIONPLXX01,2063,71.25
R1,PWRBIONPLXX01,2064,71.25
R1,PWRBIONPLXX01,2065,71.25
R1,PWRBIONPLXX01,2066,71.25
R1,PWRBIONPLXX01,2067,71.25
R1,PWRBIONPLXX01,2068,71.25
R1,PWRBIONPLXX01,2069,71.25
R1,PWRBIONPLXX01,2070,71.25
R1,PWRCCGNPLXX00,2020,26.25
R1,PWRCCGNPLXX00,2021,26.25
R1,PWRCCGNPLXX00,2022,26.25
R1,PWRCCGNPLXX00,2023,26.25
R1,PWRCCGNPLXX00,2024,26.25
R1,PWRCCGNPLXX00,2025,26.25
R1,PWRCCGNPLXX00,2026,26.25
R1,PWRCCGNPLXX00,2027,26.25
R1,PWRCCGNPLXX00,2028,26.25
R1,PWRCCGNPLXX00,2029,26.25
R1,PWRCCGNPLXX00,2030,26.25
