REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRHYDNPLXX01,2020,39.7532
GLOBAL,PWRHYDNPLXX01,2021,39.7532
GLOBAL,PWRHYDNPLXX01,2022,39.7532
GLOBAL,PWRHYDNPLXX01,2023,39.7532
GLOBAL,PWRHYDNPLXX01,2024,39.7532
GLOBAL,PWRHYDNPLXX01,2025,39.7532
GLOBAL,PWRHYDNPLXX01,2026,39.7532
GLOBAL,PWRHYDNPLXX01,2027,39.7532
GLOBAL,PWRHYDNPLXX01,2028,39.7532
GLOBAL,PWRHYDNPLXX01,2029,39.7532
GLOBAL,PWRHYDNPLXX01,2030,39.7532
GLOBAL,PWRHYDNPLXX01,2031,39.7532
GLOBAL,PWRHYDNPLXX01,2032,39.7532
GLOBAL,PWRHYDNPLXX01,2033,39.7532
GLOBAL,PWRHYDNPLXX01,2034,39.7532
GLOBAL,PWRHYDNPLXX01,2035,39.7532
GLOBAL,PWRHYDNPLXX01,2036,39.7532
GLOBAL,PWRHYDNPLXX01,2037,39.7532
GLOBAL,PWRHYDNPLXX01,2038,39.7532
GLOBAL,PWRHYDNPLXX01,2039,39.7532
GLOBAL,PWRHYDNPLXX01,2040,39.7532
GLOBAL,PWRHYDNPLXX01,2041,39.7532
GLOBAL,PWRHYDNPLXX01,2042,39.7532
GLOBAL,PWRHYDNPLXX01,2043,39.7532
GLOBAL,PWRHYDNPLXX01,2044,39.7532
GLOBAL,PWRHYDNPLXX01,2045,39.7532
GLOBAL,PWRHYDNPLXX01,2046,39.7532
GLOBAL,PWRHYDNPLXX01,2047,39.7532
GLOBAL,PWRHYDNPLXX01,2048,39.7532
GLOBAL,PWRHYDNPLXX01,2049,39.7532
GLOBAL,PWRHYDNPLXX01,2050,39.7532
GLOBAL,PWRHYDNPLXX01,2051,39.7532
GLOBAL,PWRHYDNPLXX01,2052,39.7532
GLOBAL,PWRHYDNPLXX01,2053,39.7532
GLOBAL,PWRHYDNPLXX01,2054,39.7532
GLOBAL,PWRHYDNPLXX01,2055,39.7532
GLOBAL,PWRHYDNPLXX01,2056,39.7532
GLOBAL,PWRHYDNPLXX01,2057,39.7532
GLOBAL,PWRHYDNPLXX01,2058,39.7532
GLOBAL,PWRHYDNPLXX01,2059,39.7532
GLOBAL,PWRHYDNPLXX01,2060,39.7532
GLOBAL,PWRHYDNPLXX01,2061,39.7532
GLOBAL,PWRHYDNPLXX01,2062,39.7532
GLOBAL,PWRHYDNPLXX01,2063,39.7532
GLOBAL,PWRHYDNPLXX01,2064,39.7532
GLOBAL,PWRHYDNPLXX01,2065,39.7532
GLOBAL,PWRHYDNPLXX01,2066,39.7532
GLOBAL,PWRHYDNPLXX01,2067,39.7532
GLOBAL,PWRHYDNPLXX01,2068,39.7532
GLOBAL,PWRHYDNPLXX01,2069,39.7532
GLOBAL,PWRHYDNPLXX01,2070,39.7532
GLOBAL,PWRCSPNPLXX01,2020,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2021,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2022,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2023,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2024,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2025,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2026,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2027,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2028,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2029,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2030,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2031,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2032,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2033,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2034,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2035,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2036,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2037,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2038,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2039,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2040,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2041,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2042,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2043,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2044,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2045,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2046,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2047,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2048,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2049,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2050,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2051,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2052,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2053,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2054,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2055,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2056,0.7001999999999999
GLOBAL,PWRCSPNPLXX01,2057,0.7001999999999999
