REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
R1,TRANSMISSION,ELC_01,1,2020,1.00
R1,TRANSMISSION,ELC_01,1,2021,1.00
R1,TRANSMISSION,ELC_01,1,2022,1.00
R1,TRANSMISSION,ELC_01,1,2023,1.00
R1,TRANSMISSION,ELC_01,1,2024,1.00
R1,TRANSMISSION,ELC_01,1,2025,1.00
R1,TRANSMISSION,ELC_01,1,2026,1.00
R1,TRANSMISSION,ELC_01,1,2027,1.00
R1,TRANSMISSION,ELC_01,1,2028,1.00
R1,TRANSMISSION,ELC_01,1,2029,1.00
R1,TRANSMISSION,ELC_01,1,2030,1.00
R1,TRANSMISSION,ELC_01,1,2031,1.00
R1,TRANSMISSION,ELC_01,1,2032,1.00
R1,TRANSMISSION,ELC_01,1,2033,1.00
R1,TRANSMISSION,ELC_01,1,2034,1.00
R1,TRANSMISSION,ELC_01,1,2035,1.00
R1,TRANSMISSION,ELC_01,1,2036,1.00
R1,TRANSMISSION,ELC_01,1,2037,1.00
R1,TRANSMISSION,ELC_01,1,2038,1.00
R1,TRANSMISSION,ELC_01,1,2039,1.00
R1,TRANSMISSION,ELC_01,1,2040,1.00
R1,TRANSMISSION,ELC_01,1,2041,1.00
R1,TRANSMISSION,ELC_01,1,2042,1.00
R1,TRANSMISSION,ELC_01,1,2043,1.00
R1,TRANSMISSION,ELC_01,1,2044,1.00
R1,TRANSMISSION,ELC_01,1,2045,1.00
R1,TRANSMISSION,ELC_01,1,2046,1.00
R1,TRANSMISSION,ELC_01,1,2047,1.00
R1,TRANSMISSION,ELC_01,1,2048,1.00
R1,TRANSMISSION,ELC_01,1,2049,1.00
R1,TRANSMISSION,ELC_01,1,2050,1.00
R1,TRANSMISSION,ELC_01,1,2051,1.00
R1,TRANSMISSION,ELC_01,1,2052,1.00
R1,TRANSMISSION,ELC_01,1,2053,1.00
R1,TRANSMISSION,ELC_01,1,2054,1.00
R1,TRANSMISSION,ELC_01,1,2055,1.00
R1,TRANSMISSION,ELC_01,1,2056,1.00
R1,TRANSMISSION,ELC_01,1,2057,1.00
R1,TRANSMISSION,ELC_01,1,2058,1.00
R1,TRANSMISSION,ELC_01,1,2059,1.00
R1,TRANSMISSION,ELC_01,1,2060,1.00
R1,TRANSMISSION,ELC_01,1,2061,1.00
R1,TRANSMISSION,ELC_01,1,2062,1.00
R1,TRANSMISSION,ELC_01,1,2063,1.00
R1,TRANSMISSION,ELC_01,1,2064,1.00
R1,TRANSMISSION,ELC_01,1,2065,1.00
R1,TRANSMISSION,ELC_01,1,2066,1.00
R1,TRANSMISSION,ELC_01,1,2067,1.00
R1,TRANSMISSION,ELC_01,1,2068,1.00
R1,TRANSMISSION,ELC_01,1,2069,1.00
R1,TRANSMISSION,ELC_01,1,2070,1.00
R1,HYDRO,WATER,1,2020,2.0
R1,HYDRO,WATER,1,2021,2.0
R1,HYDRO,WATER,1,2022,2.0
R1,HYDRO,WATER,1,2023,2.0
R1,HYDRO,WATER,1,2024,2.0
R1,HYDRO,WATER,1,2025,2.0
R1,HYDRO,WATER,1,2026,2.0
R1,HYDRO,WATER,1,2027,2.0
R1,HYDRO,WATER,1,2028,2.0
R1,HYDRO,WATER,1,2029,2.0
R1,HYDRO,WATER,1,2030,2.0
R1,HYDRO,WATER,1,2031,2.0
R1,HYDRO,WATER,1,2032,2.0
R1,HYDRO,WATER,1,2033,2.0
R1,HYDRO,WATER,1,2034,2.0
R1,HYDRO,WATER,1,2035,2.0
R1,HYDRO,WATER,1,2036,2.0
R1,HYDRO,WATER,1,2037,2.0
R1,HYDRO,WATER,1,2038,2.0
R1,HYDRO,WATER,1,2039,2.0
R1,HYDRO,WATER,1,2040,2.0
R1,HYDRO,WATER,1,2041,2.0
R1,HYDRO,WATER,1,2042,2.0
R1,HYDRO,WATER,1,2043,2.0
R1,HYDRO,WATER,1,2044,2.0
R1,HYDRO,WATER,1,2045,2.0
R1,HYDRO,WATER,1,2046,2.0
R1,HYDRO,WATER,1,2047,2.0
R1,HYDRO,WATER,1,2048,2.0
R1,HYDRO,WATER,1,2049,2.0
R1,HYDRO,WATER,1,2050,2.0
R1,HYDRO,WATER,1,2051,2.0
R1,HYDRO,WATER,1,2052,2.0
R1,HYDRO,WATER,1,2053,2.0
R1,HYDRO,WATER,1,2054,2.0
R1,HYDRO,WATER,1,2055,2.0
R1,HYDRO,WATER,1,2056,2.0
R1,HYDRO,WATER,1,2057,2.0
R1,HYDRO,WATER,1,2058,2.0
R1,HYDRO,WATER,1,2059,2.0
R1,HYDRO,WATER,1,2060,2.0
R1,HYDRO,WATER,1,2061,2.0
R1,HYDRO,WATER,1,2062,2.0
R1,HYDRO,WATER,1,2063,2.0
R1,HYDRO,WATER,1,2064,2.0
R1,HYDRO,WATER,1,2065,2.0
R1,HYDRO,WATER,1,2066,2.0
R1,HYDRO,WATER,1,2067,2.0
R1,HYDRO,WATER,1,2068,2.0
R1,HYDRO,WATER,1,2069,2.0
R1,HYDRO,WATER,1,2070,2.0
