REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOANPL,2020,62.003535
GLOBAL,MINCOANPL,2021,77.651124
GLOBAL,MINCOANPL,2022,93.298713
GLOBAL,MINCOANPL,2023,108.9463
GLOBAL,MINCOANPL,2024,124.59389
GLOBAL,MINCOANPL,2025,140.24148
GLOBAL,MINCOANPL,2026,158.63946
GLOBAL,MINCOANPL,2027,178.01728
GLOBAL,MINCOANPL,2028,199.88575
GLOBAL,MINCOANPL,2029,221.75456
GLOBAL,MINCOANPL,2030,243.90494
GLOBAL,MINCOANPL,2031,268.36445
GLOBAL,MINCOANPL,2032,293.10275
GLOBAL,MINCOANPL,2033,317.84105
GLOBAL,MINCOANPL,2034,342.58282
GLOBAL,MINCOANPL,2035,367.32112
GLOBAL,MINCOANPL,2036,394.92718
GLOBAL,MINCOANPL,2037,408.06371
GLOBAL,MINCOANPL,2038,434.03615
GLOBAL,MINCOANPL,2039,460.00532
GLOBAL,MINCOANPL,2040,485.69331
GLOBAL,MINCOANPL,2041,513.98988
GLOBAL,MINCOANPL,2042,539.05999
GLOBAL,MINCOANPL,2043,564.1301
GLOBAL,MINCOANPL,2044,589.20022
GLOBAL,MINCOANPL,2045,614.27033
GLOBAL,MINCOANPL,2046,642.02869
GLOBAL,MINCOANPL,2047,669.78994
GLOBAL,MINCOANPL,2048,697.5483
GLOBAL,MINCOANPL,2049,725.30956
GLOBAL,MINCOANPL,2050,753.07081
GLOBAL,MINCOANPL,2051,788.0094
GLOBAL,MINCOANPL,2052,822.948
GLOBAL,MINCOANPL,2053,857.88659
GLOBAL,MINCOANPL,2054,892.82808
GLOBAL,MINCOANPL,2055,927.76667
GLOBAL,MINCOANPL,2056,966.49773
GLOBAL,MINCOANPL,2057,1005.2317
GLOBAL,MINCOANPL,2058,1043.9627
GLOBAL,MINCOANPL,2059,1082.6967
GLOBAL,MINCOANPL,2060,1121.4277
GLOBAL,MINCOANPL,2061,1163.9339
GLOBAL,MINCOANPL,2062,1206.4401
GLOBAL,MINCOANPL,2063,1248.9462
GLOBAL,MINCOANPL,2064,1291.4553
GLOBAL,MINCOANPL,2065,1333.9614
GLOBAL,MINCOANPL,2066,1380.4798
GLOBAL,MINCOANPL,2067,1426.9981
GLOBAL,MINCOANPL,2068,1473.5164
GLOBAL,MINCOANPL,2069,1520.0376
GLOBAL,MINCOANPL,2070,1566.5559
GLOBAL,MINGASNPL,2020,28.285015
GLOBAL,MINGASNPL,2021,28.285015
GLOBAL,MINGASNPL,2022,28.285015
GLOBAL,MINGASNPL,2023,28.285015
GLOBAL,MINGASNPL,2024,28.285015
GLOBAL,MINGASNPL,2025,28.285015
GLOBAL,MINGASNPL,2026,28.285015
GLOBAL,MINGASNPL,2027,28.285015
GLOBAL,MINGASNPL,2028,28.285015
GLOBAL,MINGASNPL,2029,28.285015
GLOBAL,MINGASNPL,2030,28.009184
GLOBAL,MINGASNPL,2031,28.285015
GLOBAL,MINGASNPL,2032,28.285015
GLOBAL,MINGASNPL,2033,28.285015
GLOBAL,MINGASNPL,2034,28.285015
GLOBAL,MINGASNPL,2035,28.285015
GLOBAL,MINGASNPL,2036,28.285015
GLOBAL,MINGASNPL,2037,28.285015
GLOBAL,MINGASNPL,2038,28.285015
GLOBAL,MINGASNPL,2039,28.285015
GLOBAL,MINGASNPL,2040,28.285015
GLOBAL,MINGASNPL,2041,28.285015
GLOBAL,MINGASNPL,2042,30.494054
GLOBAL,MINGASNPL,2043,32.703093
GLOBAL,MINGASNPL,2044,34.912132
GLOBAL,MINGASNPL,2045,37.12117
GLOBAL,MINGASNPL,2046,39.567083
GLOBAL,MINGASNPL,2047,42.01325
GLOBAL,MINGASNPL,2048,44.459163
GLOBAL,MINGASNPL,2049,46.90533
GLOBAL,MINGASNPL,2050,49.268757
GLOBAL,MINGASNPL,2051,52.347352
GLOBAL,MINGASNPL,2052,55.425946
GLOBAL,MINGASNPL,2053,58.504541
GLOBAL,MINGASNPL,2054,61.58339
GLOBAL,MINGASNPL,2055,64.661985
GLOBAL,MINGASNPL,2056,68.07475
GLOBAL,MINGASNPL,2057,71.48777
GLOBAL,MINGASNPL,2058,74.900534
GLOBAL,MINGASNPL,2059,78.313554
GLOBAL,MINGASNPL,2060,81.726319
GLOBAL,MINGASNPL,2061,85.471726
GLOBAL,MINGASNPL,2062,89.217133
GLOBAL,MINGASNPL,2063,92.96254
GLOBAL,MINGASNPL,2064,96.708202
GLOBAL,MINGASNPL,2065,100.45361
GLOBAL,MINGASNPL,2066,104.55254
GLOBAL,MINGASNPL,2067,108.65148
GLOBAL,MINGASNPL,2068,112.75041
GLOBAL,MINGASNPL,2069,116.8496
GLOBAL,MINGASNPL,2070,120.94854
GLOBAL,PWRCCGNPLXX01,2020,0.44408269
GLOBAL,PWRCCGNPLXX01,2021,0.44408269
GLOBAL,PWRCCGNPLXX01,2022,0.44408269
GLOBAL,PWRCCGNPLXX01,2023,0.44408269
GLOBAL,PWRCCGNPLXX01,2024,0.44408269
GLOBAL,PWRCCGNPLXX01,2025,0.44408269
GLOBAL,PWRCCGNPLXX01,2026,0.44408269
GLOBAL,PWRCCGNPLXX01,2027,0.44408269
GLOBAL,PWRCCGNPLXX01,2028,0.44408269
GLOBAL,PWRCCGNPLXX01,2029,0.44408269
GLOBAL,PWRCCGNPLXX01,2030,0.44408269
GLOBAL,PWRCCGNPLXX01,2031,0.44408269
GLOBAL,PWRCCGNPLXX01,2032,0.44408269
GLOBAL,PWRCCGNPLXX01,2033,0.44408269
GLOBAL,PWRCCGNPLXX01,2034,0.44408269
GLOBAL,PWRCCGNPLXX01,2035,0.44408269
GLOBAL,PWRCCGNPLXX01,2036,0.44408269
GLOBAL,PWRCCGNPLXX01,2037,0.44408269
GLOBAL,PWRCCGNPLXX01,2038,0.44408269
GLOBAL,PWRCCGNPLXX01,2039,0.44408269
GLOBAL,PWRCCGNPLXX01,2040,0.44408269
GLOBAL,PWRCCGNPLXX01,2041,0.44408269
GLOBAL,PWRCCGNPLXX01,2042,0.47910677
GLOBAL,PWRCCGNPLXX01,2043,0.51413085
GLOBAL,PWRCCGNPLXX01,2044,0.54915493
GLOBAL,PWRCCGNPLXX01,2045,0.58417901
GLOBAL,PWRCCGNPLXX01,2046,0.6229587
GLOBAL,PWRCCGNPLXX01,2047,0.66174243
GLOBAL,PWRCCGNPLXX01,2048,0.70052211
GLOBAL,PWRCCGNPLXX01,2049,0.73930584
GLOBAL,PWRCCGNPLXX01,2050,0.78115102
GLOBAL,PWRCCGNPLXX01,2051,0.82996182
GLOBAL,PWRCCGNPLXX01,2052,0.87877262
GLOBAL,PWRCCGNPLXX01,2053,0.92758341
GLOBAL,PWRCCGNPLXX01,2054,0.97639825
GLOBAL,PWRCCGNPLXX01,2055,1.025209
GLOBAL,PWRCCGNPLXX01,2056,1.0793181
GLOBAL,PWRCCGNPLXX01,2057,1.1334312
GLOBAL,PWRCCGNPLXX01,2058,1.1875402
GLOBAL,PWRCCGNPLXX01,2059,1.2416533
GLOBAL,PWRCCGNPLXX01,2060,1.2957623
GLOBAL,PWRCCGNPLXX01,2061,1.3551453
GLOBAL,PWRCCGNPLXX01,2062,1.4145284
GLOBAL,PWRCCGNPLXX01,2063,1.4739114
GLOBAL,PWRCCGNPLXX01,2064,1.5332985
GLOBAL,PWRCCGNPLXX01,2065,1.5926815
GLOBAL,PWRCCGNPLXX01,2066,1.6576697
GLOBAL,PWRCCGNPLXX01,2067,1.7226579
GLOBAL,PWRCCGNPLXX01,2068,1.7876461
GLOBAL,PWRCCGNPLXX01,2069,1.8526383
GLOBAL,PWRCCGNPLXX01,2070,1.9176265
GLOBAL,PWRCOANPLXX01,2020,0.67332849
GLOBAL,PWRCOANPLXX01,2021,0.84325376
GLOBAL,PWRCOANPLXX01,2022,1.013179
GLOBAL,PWRCOANPLXX01,2023,1.1831043
GLOBAL,PWRCOANPLXX01,2024,1.3530296
GLOBAL,PWRCOANPLXX01,2025,1.5229549
GLOBAL,PWRCOANPLXX01,2026,1.722748
GLOBAL,PWRCOANPLXX01,2027,1.9331818
GLOBAL,PWRCOANPLXX01,2028,2.1706628
GLOBAL,PWRCOANPLXX01,2029,2.4081476
GLOBAL,PWRCOANPLXX01,2030,2.64869
GLOBAL,PWRCOANPLXX01,2031,2.9143085
GLOBAL,PWRCOANPLXX01,2032,3.1829545
GLOBAL,PWRCOANPLXX01,2033,3.4516005
GLOBAL,PWRCOANPLXX01,2034,3.7202842
GLOBAL,PWRCOANPLXX01,2035,3.9889303
GLOBAL,PWRCOANPLXX01,2036,4.2887188
GLOBAL,PWRCOANPLXX01,2037,4.4313751
GLOBAL,PWRCOANPLXX01,2038,4.7134233
GLOBAL,PWRCOANPLXX01,2039,4.995436
GLOBAL,PWRCOANPLXX01,2040,5.2743951
GLOBAL,PWRCOANPLXX01,2041,5.5816823
GLOBAL,PWRCOANPLXX01,2042,5.8539316
GLOBAL,PWRCOANPLXX01,2043,6.1261809
GLOBAL,PWRCOANPLXX01,2044,6.3984302
GLOBAL,PWRCOANPLXX01,2045,6.6706796
GLOBAL,PWRCOANPLXX01,2046,6.972122
GLOBAL,PWRCOANPLXX01,2047,7.2735958
GLOBAL,PWRCOANPLXX01,2048,7.5750382
GLOBAL,PWRCOANPLXX01,2049,7.8765121
GLOBAL,PWRCOANPLXX01,2050,8.1779859
GLOBAL,PWRCOANPLXX01,2051,8.5574022
GLOBAL,PWRCOANPLXX01,2052,8.9368185
GLOBAL,PWRCOANPLXX01,2053,9.3162347
GLOBAL,PWRCOANPLXX01,2054,9.6956824
GLOBAL,PWRCOANPLXX01,2055,10.075099
GLOBAL,PWRCOANPLXX01,2056,10.495699
GLOBAL,PWRCOANPLXX01,2057,10.916331
GLOBAL,PWRCOANPLXX01,2058,11.336932
GLOBAL,PWRCOANPLXX01,2059,11.757564
GLOBAL,PWRCOANPLXX01,2060,12.178164
GLOBAL,PWRCOANPLXX01,2061,12.639761
GLOBAL,PWRCOANPLXX01,2062,13.101357
GLOBAL,PWRCOANPLXX01,2063,13.562954
GLOBAL,PWRCOANPLXX01,2064,14.024582
GLOBAL,PWRCOANPLXX01,2065,14.486178
GLOBAL,PWRCOANPLXX01,2066,14.991344
GLOBAL,PWRCOANPLXX01,2067,15.496511
GLOBAL,PWRCOANPLXX01,2068,16.001677
GLOBAL,PWRCOANPLXX01,2069,16.506875
GLOBAL,PWRCOANPLXX01,2070,17.012041
GLOBAL,PWROCGNPLXX01,2020,0.0030614516
GLOBAL,PWROCGNPLXX01,2021,0.0030614516
GLOBAL,PWROCGNPLXX01,2022,0.0030614516
