REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
GLOBAL,PWRCCGNPLXX01,CO2,2020,0.70443097
GLOBAL,PWRCCGNPLXX01,CO2,2021,0.49239873
GLOBAL,PWRCCGNPLXX01,CO2,2022,0.48394957
GLOBAL,PWRCCGNPLXX01,CO2,2023,0.47550041
GLOBAL,PWRCCGNPLXX01,CO2,2024,0.46705125
GLOBAL,PWRCCGNPLXX01,CO2,2025,0.45860209
GLOBAL,PWRCCGNPLXX01,CO2,2026,0.44565593
GLOBAL,PWRCCGNPLXX01,CO2,2027,0.41741661
GLOBAL,PWRCCGNPLXX01,CO2,2028,0.38496603
GLOBAL,PWRCCGNPLXX01,CO2,2029,0.35251494
GLOBAL,PWRCCGNPLXX01,CO2,2030,0.31701755
GLOBAL,PWRCCGNPLXX01,CO2,2031,0.28554697
GLOBAL,PWRCCGNPLXX01,CO2,2032,0.26825205
GLOBAL,PWRCCGNPLXX01,CO2,2033,0.25111025
GLOBAL,PWRCCGNPLXX01,CO2,2034,0.23396605
GLOBAL,PWRCCGNPLXX01,CO2,2035,0.21682426
GLOBAL,PWRCCGNPLXX01,CO2,2036,0.19769532
GLOBAL,PWRCCGNPLXX01,CO2,2037,0.2382736
GLOBAL,PWRCCGNPLXX01,CO2,2038,0.22588566
GLOBAL,PWRCCGNPLXX01,CO2,2039,0.21349928
GLOBAL,PWRCCGNPLXX01,CO2,2040,0.20100083
GLOBAL,PWRCCGNPLXX01,CO2,2041,0.1881721
GLOBAL,PWRCCGNPLXX01,CO2,2042,0.20267713
GLOBAL,PWRCCGNPLXX01,CO2,2043,0.21718215
GLOBAL,PWRCCGNPLXX01,CO2,2044,0.23168717
GLOBAL,PWRCCGNPLXX01,CO2,2045,0.24619219
GLOBAL,PWRCCGNPLXX01,CO2,2046,0.26225258
GLOBAL,PWRCCGNPLXX01,CO2,2047,0.27831464
GLOBAL,PWRCCGNPLXX01,CO2,2048,0.29437502
GLOBAL,PWRCCGNPLXX01,CO2,2049,0.31043708
GLOBAL,PWRCCGNPLXX01,CO2,2050,0.32772292
GLOBAL,PWRCCGNPLXX01,CO2,2051,0.34793763
GLOBAL,PWRCCGNPLXX01,CO2,2052,0.36815234
GLOBAL,PWRCCGNPLXX01,CO2,2053,0.38836705
GLOBAL,PWRCCGNPLXX01,CO2,2054,0.40858344
GLOBAL,PWRCCGNPLXX01,CO2,2055,0.42879815
GLOBAL,PWRCCGNPLXX01,CO2,2056,0.4512071
GLOBAL,PWRCCGNPLXX01,CO2,2057,0.47361772
GLOBAL,PWRCCGNPLXX01,CO2,2058,0.49602666
GLOBAL,PWRCCGNPLXX01,CO2,2059,0.51843728
GLOBAL,PWRCCGNPLXX01,CO2,2060,0.54084623
GLOBAL,PWRCCGNPLXX01,CO2,2061,0.56543937
GLOBAL,PWRCCGNPLXX01,CO2,2062,0.59003252
GLOBAL,PWRCCGNPLXX01,CO2,2063,0.61462566
GLOBAL,PWRCCGNPLXX01,CO2,2064,0.63922048
GLOBAL,PWRCCGNPLXX01,CO2,2065,0.66381362
GLOBAL,PWRCCGNPLXX01,CO2,2066,0.69072811
GLOBAL,PWRCCGNPLXX01,CO2,2067,0.71764259
GLOBAL,PWRCCGNPLXX01,CO2,2068,0.74455708
GLOBAL,PWRCCGNPLXX01,CO2,2069,0.77147323
GLOBAL,PWRCCGNPLXX01,CO2,2070,0.79838772
GLOBAL,PWRCOANPLXX01,CO2,2020,1.60352
GLOBAL,PWRCOANPLXX01,CO2,2021,2.481113
GLOBAL,PWRCOANPLXX01,CO2,2022,2.9810856
GLOBAL,PWRCOANPLXX01,CO2,2023,3.4810582
