REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOANPL,2020,112.43039
GLOBAL,MINCOANPL,2021,179.13027
GLOBAL,MINCOANPL,2022,208.7568
GLOBAL,MINCOANPL,2023,236.30126
GLOBAL,MINCOANPL,2024,261.84029
GLOBAL,MINCOANPL,2025,285.44751
GLOBAL,MINCOANPL,2026,313.09877
GLOBAL,MINCOANPL,2027,339.23188
GLOBAL,MINCOANPL,2028,365.83051
GLOBAL,MINCOANPL,2029,389.92066
GLOBAL,MINCOANPL,2030,411.87206
GLOBAL,MINCOANPL,2031,450.93763
GLOBAL,MINCOANPL,2032,488.63911
GLOBAL,MINCOANPL,2033,526.32525
GLOBAL,MINCOANPL,2034,564.01667
GLOBAL,MINCOANPL,2035,601.7028
GLOBAL,MINCOANPL,2036,643.75766
GLOBAL,MINCOANPL,2037,666.82483
GLOBAL,MINCOANPL,2038,706.73595
GLOBAL,MINCOANPL,2039,746.64207
GLOBAL,MINCOANPL,2040,786.05531
GLOBAL,MINCOANPL,2041,829.66221
GLOBAL,MINCOANPL,2042,870.33619
GLOBAL,MINCOANPL,2043,911.01018
GLOBAL,MINCOANPL,2044,951.68416
GLOBAL,MINCOANPL,2045,992.35815
GLOBAL,MINCOANPL,2046,1037.3936
GLOBAL,MINCOANPL,2047,1082.4337
GLOBAL,MINCOANPL,2048,1127.4691
GLOBAL,MINCOANPL,2049,1172.5092
GLOBAL,MINCOANPL,2050,1217.5494
GLOBAL,MINCOANPL,2051,1274.2341
GLOBAL,MINCOANPL,2052,1330.9188
GLOBAL,MINCOANPL,2053,1387.6035
GLOBAL,MINCOANPL,2054,1444.2929
GLOBAL,MINCOANPL,2055,1500.9776
GLOBAL,MINCOANPL,2056,1563.8152
GLOBAL,MINCOANPL,2057,1626.6575
GLOBAL,MINCOANPL,2058,1689.4951
GLOBAL,MINCOANPL,2059,1752.3375
GLOBAL,MINCOANPL,2060,1815.1751
GLOBAL,MINCOANPL,2061,1884.1375
GLOBAL,MINCOANPL,2062,1953.0999
GLOBAL,MINCOANPL,2063,2022.0623
GLOBAL,MINCOANPL,2064,2091.0294
GLOBAL,MINCOANPL,2065,2159.9918
GLOBAL,MINCOANPL,2066,2235.4635
GLOBAL,MINCOANPL,2067,2310.9353
GLOBAL,MINCOANPL,2068,2386.407
GLOBAL,MINCOANPL,2069,2461.8835
GLOBAL,MINCOANPL,2070,2537.3552
GLOBAL,MINGASNPL,2020,83.34402
GLOBAL,MINGASNPL,2021,75.919628
GLOBAL,MINGASNPL,2022,77.886025
GLOBAL,MINGASNPL,2023,79.832776
GLOBAL,MINGASNPL,2024,81.763651
GLOBAL,MINGASNPL,2025,83.680878
GLOBAL,MINGASNPL,2026,84.972267
GLOBAL,MINGASNPL,2027,82.850662
GLOBAL,MINGASNPL,2028,79.566368
GLOBAL,MINGASNPL,2029,75.753399
GLOBAL,MINGASNPL,2030,70.539241
GLOBAL,MINGASNPL,2031,63.731246
GLOBAL,MINGASNPL,2032,59.882972
GLOBAL,MINGASNPL,2033,56.068769
GLOBAL,MINGASNPL,2034,52.254031
GLOBAL,MINGASNPL,2035,48.439828
GLOBAL,MINGASNPL,2036,44.183469
GLOBAL,MINGASNPL,2037,53.2125
GLOBAL,MINGASNPL,2038,50.456072
GLOBAL,MINGASNPL,2039,47.699991
GLOBAL,MINGASNPL,2040,44.918975
GLOBAL,MINGASNPL,2041,42.258959
GLOBAL,MINGASNPL,2042,45.486456
GLOBAL,MINGASNPL,2043,48.713954
GLOBAL,MINGASNPL,2044,51.941451
GLOBAL,MINGASNPL,2045,55.168948
GLOBAL,MINGASNPL,2046,58.742527
GLOBAL,MINGASNPL,2047,62.316479
GLOBAL,MINGASNPL,2048,65.890059
GLOBAL,MINGASNPL,2049,69.46401
GLOBAL,MINGASNPL,2050,72.921281
GLOBAL,MINGASNPL,2051,77.419235
GLOBAL,MINGASNPL,2052,81.917189
GLOBAL,MINGASNPL,2053,86.415144
GLOBAL,MINGASNPL,2054,90.91347
GLOBAL,MINGASNPL,2055,95.411425
GLOBAL,MINGASNPL,2056,100.39762
GLOBAL,MINGASNPL,2057,105.38418
GLOBAL,MINGASNPL,2058,110.37037
GLOBAL,MINGASNPL,2059,115.35693
GLOBAL,MINGASNPL,2060,120.34312
GLOBAL,MINGASNPL,2061,125.81532
GLOBAL,MINGASNPL,2062,131.28751
GLOBAL,MINGASNPL,2063,136.75971
GLOBAL,MINGASNPL,2064,142.23228
GLOBAL,MINGASNPL,2065,147.70447
GLOBAL,MINGASNPL,2066,153.69318
GLOBAL,MINGASNPL,2067,159.6819
GLOBAL,MINGASNPL,2068,165.67061
GLOBAL,MINGASNPL,2069,171.6597
GLOBAL,MINGASNPL,2070,177.64841
