REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCCGNPLXX01,2020,350.82533
GLOBAL,PWRCCGNPLXX01,2042,27.669023
GLOBAL,PWRCCGNPLXX01,2043,27.669023
GLOBAL,PWRCCGNPLXX01,2044,27.669023
GLOBAL,PWRCCGNPLXX01,2045,27.669023
GLOBAL,PWRCCGNPLXX01,2046,30.635954
GLOBAL,PWRCCGNPLXX01,2047,30.639144
GLOBAL,PWRCCGNPLXX01,2048,30.635954
GLOBAL,PWRCCGNPLXX01,2049,30.639144
GLOBAL,PWRCCGNPLXX01,2050,383.88302
GLOBAL,PWRCCGNPLXX01,2051,38.56053
GLOBAL,PWRCCGNPLXX01,2052,38.56053
GLOBAL,PWRCCGNPLXX01,2053,38.56053
GLOBAL,PWRCCGNPLXX01,2054,38.563721
GLOBAL,PWRCCGNPLXX01,2055,38.56053
GLOBAL,PWRCCGNPLXX01,2056,42.746136
GLOBAL,PWRCCGNPLXX01,2057,42.749326
GLOBAL,PWRCCGNPLXX01,2058,42.746136
GLOBAL,PWRCCGNPLXX01,2059,42.749326
GLOBAL,PWRCCGNPLXX01,2060,42.746136
GLOBAL,PWRCCGNPLXX01,2061,46.9126
GLOBAL,PWRCCGNPLXX01,2062,46.9126
GLOBAL,PWRCCGNPLXX01,2063,46.9126
GLOBAL,PWRCCGNPLXX01,2064,46.91579
GLOBAL,PWRCCGNPLXX01,2065,46.9126
GLOBAL,PWRCCGNPLXX01,2066,51.340665
GLOBAL,PWRCCGNPLXX01,2067,51.340665
GLOBAL,PWRCCGNPLXX01,2068,51.340665
GLOBAL,PWRCCGNPLXX01,2069,51.343855
GLOBAL,PWRCCGNPLXX01,2070,51.340665
GLOBAL,PWRCOANPLXX01,2020,970.71748
GLOBAL,PWRCOANPLXX01,2021,244.97617
GLOBAL,PWRCOANPLXX01,2022,244.97617
GLOBAL,PWRCOANPLXX01,2023,244.97617
GLOBAL,PWRCOANPLXX01,2024,244.97617
GLOBAL,PWRCOANPLXX01,2025,244.97617
GLOBAL,PWRCOANPLXX01,2026,288.03584
GLOBAL,PWRCOANPLXX01,2027,303.37608
GLOBAL,PWRCOANPLXX01,2028,342.36921
GLOBAL,PWRCOANPLXX01,2029,342.37464
GLOBAL,PWRCOANPLXX01,2030,346.78282
GLOBAL,PWRCOANPLXX01,2031,382.93419
GLOBAL,PWRCOANPLXX01,2032,387.29893
GLOBAL,PWRCOANPLXX01,2033,387.29893
GLOBAL,PWRCOANPLXX01,2034,387.35322
GLOBAL,PWRCOANPLXX01,2035,387.29893
GLOBAL,PWRCOANPLXX01,2036,432.19607
