REGION,TIMESLICE,FUEL,YEAR,VALUE
GLOBAL,S1D1,ELCNPLXX02,2020,4.3481078
GLOBAL,S1D1,ELCNPLXX02,2021,4.9217181
GLOBAL,S1D1,ELCNPLXX02,2022,5.4953284
GLOBAL,S1D1,ELCNPLXX02,2023,6.0689386
GLOBAL,S1D1,ELCNPLXX02,2024,6.6425489
GLOBAL,S1D1,ELCNPLXX02,2025,7.2161592
GLOBAL,S1D1,ELCNPLXX02,2026,7.8906331
GLOBAL,S1D1,ELCNPLXX02,2027,8.5650962
GLOBAL,S1D1,ELCNPLXX02,2028,9.2395594
GLOBAL,S1D1,ELCNPLXX02,2029,9.9140333
GLOBAL,S1D1,ELCNPLXX02,2030,10.588496
GLOBAL,S1D1,ELCNPLXX02,2031,11.351567
GLOBAL,S1D1,ELCNPLXX02,2032,12.114541
GLOBAL,S1D1,ELCNPLXX02,2033,12.877515
GLOBAL,S1D1,ELCNPLXX02,2034,13.640596
GLOBAL,S1D1,ELCNPLXX02,2035,14.40357
GLOBAL,S1D1,ELCNPLXX02,2036,15.254991
GLOBAL,S1D1,ELCNPLXX02,2037,16.106412
GLOBAL,S1D1,ELCNPLXX02,2038,16.957833
GLOBAL,S1D1,ELCNPLXX02,2039,17.809147
GLOBAL,S1D1,ELCNPLXX02,2040,18.660568
GLOBAL,S1D1,ELCNPLXX02,2041,19.588137
GLOBAL,S1D1,ELCNPLXX02,2042,20.515706
GLOBAL,S1D1,ELCNPLXX02,2043,21.443275
GLOBAL,S1D1,ELCNPLXX02,2044,22.370843
GLOBAL,S1D1,ELCNPLXX02,2045,23.298412
GLOBAL,S1D1,ELCNPLXX02,2046,24.325443
GLOBAL,S1D1,ELCNPLXX02,2047,25.352581
GLOBAL,S1D1,ELCNPLXX02,2048,26.379613
GLOBAL,S1D1,ELCNPLXX02,2049,27.406751
GLOBAL,S1D1,ELCNPLXX02,2050,28.433889
GLOBAL,S1D1,ELCNPLXX02,2051,29.726581
GLOBAL,S1D1,ELCNPLXX02,2052,31.019274
GLOBAL,S1D1,ELCNPLXX02,2053,32.311967
GLOBAL,S1D1,ELCNPLXX02,2054,33.604766
GLOBAL,S1D1,ELCNPLXX02,2055,34.897459
GLOBAL,S1D1,ELCNPLXX02,2056,36.330468
GLOBAL,S1D1,ELCNPLXX02,2057,37.763585
GLOBAL,S1D1,ELCNPLXX02,2058,39.196595
GLOBAL,S1D1,ELCNPLXX02,2059,40.629711
GLOBAL,S1D1,ELCNPLXX02,2060,42.062721
GLOBAL,S1D1,ELCNPLXX02,2061,43.635406
GLOBAL,S1D1,ELCNPLXX02,2062,45.208091
GLOBAL,S1D1,ELCNPLXX02,2063,46.780776
GLOBAL,S1D1,ELCNPLXX02,2064,48.353568
GLOBAL,S1D1,ELCNPLXX02,2065,49.926253
GLOBAL,S1D1,ELCNPLXX02,2066,51.647383
GLOBAL,S1D1,ELCNPLXX02,2067,53.368514
GLOBAL,S1D1,ELCNPLXX02,2068,55.089644
GLOBAL,S1D1,ELCNPLXX02,2069,56.810881
GLOBAL,S1D1,ELCNPLXX02,2070,58.532011
GLOBAL,S1D2,ELCNPLXX02,2020,4.0918944
GLOBAL,S1D2,ELCNPLXX02,2021,4.6317045
GLOBAL,S1D2,ELCNPLXX02,2022,5.1715146
GLOBAL,S1D2,ELCNPLXX02,2023,5.7113247
GLOBAL,S1D2,ELCNPLXX02,2024,6.2511348
GLOBAL,S1D2,ELCNPLXX02,2025,6.790945
GLOBAL,S1D2,ELCNPLXX02,2026,7.4256753
GLOBAL,S1D2,ELCNPLXX02,2027,8.0603955
GLOBAL,S1D2,ELCNPLXX02,2028,8.6951158
GLOBAL,S1D2,ELCNPLXX02,2029,9.3298461
GLOBAL,S1D2,ELCNPLXX02,2030,9.9645663
GLOBAL,S1D2,ELCNPLXX02,2031,10.682673
GLOBAL,S1D2,ELCNPLXX02,2032,11.400688
GLOBAL,S1D2,ELCNPLXX02,2033,12.118704
GLOBAL,S1D2,ELCNPLXX02,2034,12.83682
