REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCCGNPLXX01,2042,1.7141997
GLOBAL,PWRCCGNPLXX01,2043,3.3467708
GLOBAL,PWRCCGNPLXX01,2044,4.9016004
GLOBAL,PWRCCGNPLXX01,2045,6.3823905
GLOBAL,PWRCCGNPLXX01,2046,8.6282693
GLOBAL,PWRCCGNPLXX01,2047,10.116465
GLOBAL,PWRCCGNPLXX01,2048,11.531737
GLOBAL,PWRCCGNPLXX01,2049,12.88196
GLOBAL,PWRCCGNPLXX01,2050,177.49753
GLOBAL,PWRCCGNPLXX01,2051,19.369338
GLOBAL,PWRCCGNPLXX01,2052,20.835958
GLOBAL,PWRCCGNPLXX01,2053,22.232738
GLOBAL,PWRCCGNPLXX01,2054,23.564955
GLOBAL,PWRCCGNPLXX01,2055,24.829927
GLOBAL,PWRCCGNPLXX01,2056,28.862689
GLOBAL,PWRCCGNPLXX01,2057,30.138808
GLOBAL,PWRCCGNPLXX01,2058,31.349768
GLOBAL,PWRCCGNPLXX01,2059,32.507631
GLOBAL,PWRCCGNPLXX01,2060,33.605621
GLOBAL,PWRCCGNPLXX01,2061,38.031326
GLOBAL,PWRCCGNPLXX01,2062,39.126722
GLOBAL,PWRCCGNPLXX01,2063,40.169956
GLOBAL,PWRCCGNPLXX01,2064,41.166311
GLOBAL,PWRCCGNPLXX01,2065,42.109756
GLOBAL,PWRCCGNPLXX01,2066,47.070729
GLOBAL,PWRCCGNPLXX01,2067,48.010013
GLOBAL,PWRCCGNPLXX01,2068,48.904568
GLOBAL,PWRCCGNPLXX01,2069,49.759618
GLOBAL,PWRCCGNPLXX01,2070,50.567914
GLOBAL,PWRCOANPLXX01,2042,24.316454
GLOBAL,PWRCOANPLXX01,2043,47.474982
GLOBAL,PWRCOANPLXX01,2044,69.530722
GLOBAL,PWRCOANPLXX01,2045,90.536189
GLOBAL,PWRCOANPLXX01,2046,122.39468
GLOBAL,PWRCOANPLXX01,2047,143.50519
GLOBAL,PWRCOANPLXX01,2048,163.58127
GLOBAL,PWRCOANPLXX01,2049,182.73461
GLOBAL,PWRCOANPLXX01,2050,649.79418
GLOBAL,PWRCOANPLXX01,2051,397.81403
GLOBAL,PWRCOANPLXX01,2052,427.93597
GLOBAL,PWRCOANPLXX01,2053,456.62353
GLOBAL,PWRCOANPLXX01,2054,483.97266
GLOBAL,PWRCOANPLXX01,2055,509.96547
GLOBAL,PWRCOANPLXX01,2056,603.91135
GLOBAL,PWRCOANPLXX01,2057,641.41225
GLOBAL,PWRCOANPLXX01,2058,695.79777
GLOBAL,PWRCOANPLXX01,2059,721.48086
GLOBAL,PWRCOANPLXX01,2060,749.33553
GLOBAL,PWRCOANPLXX01,2061,849.92502
GLOBAL,PWRCOANPLXX01,2062,878.04531
GLOBAL,PWRCOANPLXX01,2063,901.45659
GLOBAL,PWRCOANPLXX01,2064,923.8404
GLOBAL,PWRCOANPLXX01,2065,944.98778
GLOBAL,PWRCOANPLXX01,2066,1063.9638
GLOBAL,PWRCOANPLXX01,2067,873.35821
GLOBAL,PWRCOANPLXX01,2068,1081.0528
GLOBAL,PWRCOANPLXX01,2069,1099.88
GLOBAL,PWRCOANPLXX01,2070,1113.4354
GLOBAL,PWRSPVNPLXX01,2042,2.3556872
GLOBAL,PWRSPVNPLXX01,2043,4.5991988
GLOBAL,PWRSPVNPLXX01,2044,6.7358765
GLOBAL,PWRSPVNPLXX01,2045,13.310377
GLOBAL,PWRSPVNPLXX01,2046,11.857139
GLOBAL,PWRSPVNPLXX01,2047,13.902247
GLOBAL,PWRSPVNPLXX01,2048,15.847142
GLOBAL,PWRSPVNPLXX01,2049,17.702646
GLOBAL,PWRSPVNPLXX01,2050,82.887482
GLOBAL,PWRSPVNPLXX01,2051,37.010837
GLOBAL,PWRSPVNPLXX01,2052,39.813247
GLOBAL,PWRSPVNPLXX01,2053,42.48221
GLOBAL,PWRSPVNPLXX01,2054,45.026757
GLOBAL,PWRSPVNPLXX01,2055,47.444906
GLOBAL,PWRSPVNPLXX01,2056,60.966028
GLOBAL,PWRSPVNPLXX01,2057,78.932373
GLOBAL,PWRSPVNPLXX01,2058,43.081473
GLOBAL,PWRSPVNPLXX01,2059,44.672632
GLOBAL,PWRSPVNPLXX01,2060,46.181512
GLOBAL,PWRSPVNPLXX01,2061,52.263402
GLOBAL,PWRSPVNPLXX01,2062,53.768717
GLOBAL,PWRSPVNPLXX01,2063,55.20235
GLOBAL,PWRSPVNPLXX01,2064,56.571562
GLOBAL,PWRSPVNPLXX01,2065,57.868063
GLOBAL,PWRSPVNPLXX01,2066,64.68553
GLOBAL,PWRSPVNPLXX01,2067,355.05858
GLOBAL,PWRSPVNPLXX01,2068,100.45139
GLOBAL,PWRSPVNPLXX01,2069,102.20133
GLOBAL,PWRSPVNPLXX01,2070,115.78603
GLOBAL,PWRWOFNPLXX01,2050,0.18194417
