REGION,YEAR,VALUE
GLOBAL,2020,1805.6108
GLOBAL,2021,638.18882
GLOBAL,2022,652.46275
GLOBAL,2023,662.15833
GLOBAL,2024,667.82816
GLOBAL,2025,669.96892
GLOBAL,2026,717.03934
GLOBAL,2027,744.7229
GLOBAL,2028,724.72295
GLOBAL,2029,718.19339
GLOBAL,2030,711.35334
GLOBAL,2031,732.4977
GLOBAL,2032,733.1377
GLOBAL,2033,729.74938
GLOBAL,2034,725.05294
GLOBAL,2035,719.09279
GLOBAL,2036,735.80562
GLOBAL,2037,767.98797
GLOBAL,2038,721.78222
GLOBAL,2039,712.89995
GLOBAL,2040,705.95212
GLOBAL,2041,707.18458
GLOBAL,2042,690.35355
GLOBAL,2043,678.87723
GLOBAL,2044,666.8162
GLOBAL,2045,659.68672
GLOBAL,2046,656.12926
GLOBAL,2047,643.92872
GLOBAL,2048,631.25168
GLOBAL,2049,618.22208
GLOBAL,2050,886.88245
GLOBAL,2051,666.73137
GLOBAL,2052,651.67026
GLOBAL,2053,636.31012
GLOBAL,2054,620.72257
GLOBAL,2055,604.93956
GLOBAL,2056,605.3092
GLOBAL,2057,593.6592
GLOBAL,2058,576.19993
GLOBAL,2059,560.17686
GLOBAL,2060,544.44391
GLOBAL,2061,536.97237
GLOBAL,2062,521.63366
GLOBAL,2063,505.98389
GLOBAL,2064,490.3622
GLOBAL,2065,474.78578
GLOBAL,2066,464.06697
GLOBAL,2067,450.96113
GLOBAL,2068,434.23195
GLOBAL,2069,419.3054
GLOBAL,2070,404.53993
