REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,PWRCCGNPLXX01,GASNPL,2020,3.4535323
GLOBAL,S1D1,PWRCCGNPLXX01,GASNPL,2021,1.4740799
GLOBAL,S1D1,PWRCCGNPLXX01,GASNPL,2022,1.2152161
GLOBAL,S1D1,PWRCCGNPLXX01,GASNPL,2023,0.95635235
GLOBAL,S1D1,PWRCCGNPLXX01,GASNPL,2024,0.69748859
GLOBAL,S1D1,PWRCCGNPLXX01,GASNPL,2025,0.43862483
GLOBAL,S1D1,PWRCCGNPLXX01,GASNPL,2026,0.10480686
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2020,5.1329763
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2021,9.5743836
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2022,11.503731
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2023,13.433079
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2024,15.362427
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2025,17.291775
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2026,19.560245
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2027,21.36499
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2028,23.334422
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2029,25.303886
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2030,27.273318
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2031,29.501484
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2032,31.729368
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2033,33.957253
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2034,36.18545
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2035,38.413334
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2036,40.899484
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2037,41.539901
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2038,43.817666
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2039,46.095144
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2040,48.300664
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2041,50.818265
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2042,53.299744
