REGION,TECHNOLOGY,YEAR,VALUE
R1,HYDRO,2020,3103732.6
R1,HYDRO,2021,65466.148
R1,HYDRO,2022,65449.019
R1,HYDRO,2023,65466.148
R1,HYDRO,2024,65449.019
R1,HYDRO,2025,65466.148
R1,HYDRO,2026,65466.148
R1,HYDRO,2027,65449.019
R1,HYDRO,2028,65466.148
R1,HYDRO,2029,65449.019
R1,HYDRO,2030,65466.148
R1,HYDRO,2031,65466.148
R1,HYDRO,2032,65449.019
R1,HYDRO,2033,65466.148
R1,HYDRO,2034,65449.019
R1,HYDRO,2035,65466.148
R1,HYDRO,2036,65466.148
R1,HYDRO,2037,65449.019
R1,HYDRO,2038,65466.148
R1,HYDRO,2039,65449.019
R1,HYDRO,2040,65466.148
R1,HYDRO,2041,65466.148
R1,HYDRO,2042,65449.019
R1,HYDRO,2043,65466.148
R1,HYDRO,2044,65449.019
R1,HYDRO,2045,65466.148
R1,HYDRO,2046,65466.148
R1,HYDRO,2047,65449.019
R1,HYDRO,2048,65466.148
R1,HYDRO,2049,65449.019
R1,HYDRO,2050,65466.148
R1,HYDRO,2051,65466.148
R1,HYDRO,2052,65449.019
R1,HYDRO,2053,65466.148
R1,HYDRO,2054,65449.019
R1,HYDRO,2055,65466.148
R1,HYDRO,2056,65466.148
R1,HYDRO,2057,65449.019
R1,HYDRO,2058,65466.148
R1,HYDRO,2059,65449.019
R1,HYDRO,2060,65466.148
R1,HYDRO,2061,65466.148
R1,HYDRO,2062,65449.019
R1,HYDRO,2063,65466.148
R1,HYDRO,2064,65449.019
R1,HYDRO,2065,65466.148
R1,HYDRO,2066,65466.148
R1,HYDRO,2067,65449.019
R1,HYDRO,2068,65466.148
R1,HYDRO,2069,65449.019
R1,HYDRO,2070,65466.148
