REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
R1,S1D1,TRANSMISSION,ELC_02,2020,2162.622
R1,S1D1,TRANSMISSION,ELC_02,2021,2208.2376
R1,S1D1,TRANSMISSION,ELC_02,2022,2253.8412
R1,S1D1,TRANSMISSION,ELC_02,2023,2299.4568
R1,S1D1,TRANSMISSION,ELC_02,2024,2345.0604
R1,S1D1,TRANSMISSION,ELC_02,2025,2390.676
R1,S1D1,TRANSMISSION,ELC_02,2026,2436.2915
R1,S1D1,TRANSMISSION,ELC_02,2027,2481.8952
R1,S1D1,TRANSMISSION,ELC_02,2028,2527.5108
R1,S1D1,TRANSMISSION,ELC_02,2029,2573.1144
R1,S1D1,TRANSMISSION,ELC_02,2030,2618.73
R1,S1D1,TRANSMISSION,ELC_02,2031,2664.3455
R1,S1D1,TRANSMISSION,ELC_02,2032,2709.9492
R1,S1D1,TRANSMISSION,ELC_02,2033,2755.5647
R1,S1D1,TRANSMISSION,ELC_02,2034,2801.1684
R1,S1D1,TRANSMISSION,ELC_02,2035,2846.7839
R1,S1D1,TRANSMISSION,ELC_02,2036,2892.3995
R1,S1D1,TRANSMISSION,ELC_02,2037,2938.0031
R1,S1D1,TRANSMISSION,ELC_02,2038,2983.6187
R1,S1D1,TRANSMISSION,ELC_02,2039,3029.2224
R1,S1D1,TRANSMISSION,ELC_02,2040,3074.8379
R1,S1D1,TRANSMISSION,ELC_02,2041,3120.4535
R1,S1D1,TRANSMISSION,ELC_02,2042,3166.0571
R1,S1D1,TRANSMISSION,ELC_02,2043,3211.6727
R1,S1D1,TRANSMISSION,ELC_02,2044,3257.2763
R1,S1D1,TRANSMISSION,ELC_02,2045,3302.8919
R1,S1D1,TRANSMISSION,ELC_02,2046,3348.5075
R1,S1D1,TRANSMISSION,ELC_02,2047,3394.1111
R1,S1D1,TRANSMISSION,ELC_02,2048,3439.7267
R1,S1D1,TRANSMISSION,ELC_02,2049,3485.3303
R1,S1D1,TRANSMISSION,ELC_02,2050,3530.9459
R1,S1D1,TRANSMISSION,ELC_02,2051,3576.5615
R1,S1D1,TRANSMISSION,ELC_02,2052,3622.1651
R1,S1D1,TRANSMISSION,ELC_02,2053,3667.7807
R1,S1D1,TRANSMISSION,ELC_02,2054,3713.3843
R1,S1D1,TRANSMISSION,ELC_02,2055,3758.9999
R1,S1D1,TRANSMISSION,ELC_02,2056,3804.6154
R1,S1D1,TRANSMISSION,ELC_02,2057,3850.2191
R1,S1D1,TRANSMISSION,ELC_02,2058,3895.8346
R1,S1D1,TRANSMISSION,ELC_02,2059,3941.4383
R1,S1D1,TRANSMISSION,ELC_02,2060,3987.0538
R1,S1D1,TRANSMISSION,ELC_02,2061,4032.6694
R1,S1D1,TRANSMISSION,ELC_02,2062,4078.273
R1,S1D1,TRANSMISSION,ELC_02,2063,4123.8886
R1,S1D1,TRANSMISSION,ELC_02,2064,4169.4923
R1,S1D1,TRANSMISSION,ELC_02,2065,4215.1078
R1,S1D1,TRANSMISSION,ELC_02,2066,4260.7234
R1,S1D1,TRANSMISSION,ELC_02,2067,4306.327
R1,S1D1,TRANSMISSION,ELC_02,2068,4351.9426
R1,S1D1,TRANSMISSION,ELC_02,2069,4397.5462
R1,S1D1,TRANSMISSION,ELC_02,2070,4443.1618
R1,S1D1,MINE_WATER,WATER,2020,5097.8808
R1,S1D1,MINE_WATER,WATER,2021,5205.4089
R1,S1D1,MINE_WATER,WATER,2022,5312.909
R1,S1D1,MINE_WATER,WATER,2023,5420.4371
R1,S1D1,MINE_WATER,WATER,2024,4690.1208
R1,S1D1,MINE_WATER,WATER,2025,5635.4653
R1,S1D1,MINE_WATER,WATER,2026,5742.9934
R1,S1D1,MINE_WATER,WATER,2027,5850.4934
R1,S1D1,MINE_WATER,WATER,2028,5055.0215
R1,S1D1,MINE_WATER,WATER,2029,5146.2288
R1,S1D1,MINE_WATER,WATER,2030,6173.0497
R1,S1D1,MINE_WATER,WATER,2031,5328.6911
R1,S1D1,MINE_WATER,WATER,2032,6388.0779
R1,S1D1,MINE_WATER,WATER,2033,6495.6061
R1,S1D1,MINE_WATER,WATER,2034,6603.1061
R1,S1D1,MINE_WATER,WATER,2035,6710.6342
R1,S1D1,MINE_WATER,WATER,2036,5784.799
R1,S1D1,MINE_WATER,WATER,2037,6925.6624
