REGION,TECHNOLOGY,YEAR,VALUE
R1,HYDRO,2020,1165430.8
R1,HYDRO,2021,26705.294
R1,HYDRO,2022,28719.866
R1,HYDRO,2023,30653.181
R1,HYDRO,2024,32478.775
R1,HYDRO,2025,34234.031
R1,HYDRO,2026,35897.609
R1,HYDRO,2027,37472.161
R1,HYDRO,2028,38990.882
R1,HYDRO,2029,40417.365
R1,HYDRO,2030,41796.572
R1,HYDRO,2031,43100.028
R1,HYDRO,2032,44329.813
R1,HYDRO,2033,45523.688
R1,HYDRO,2034,46637.457
R1,HYDRO,2035,47722.02
R1,HYDRO,2036,48743.312
R1,HYDRO,2037,49702.963
R1,HYDRO,2038,50642.313
R1,HYDRO,2039,51511.063
R1,HYDRO,2040,52364.763
R1,HYDRO,2041,53164.972
R1,HYDRO,2042,53912.967
R1,HYDRO,2043,54652.889
R1,HYDRO,2044,55329.66
R1,HYDRO,2045,56002.474
R1,HYDRO,2046,56629.459
R1,HYDRO,2047,57211.614
R1,HYDRO,2048,57795.281
R1,HYDRO,2049,58321.631
R1,HYDRO,2050,58852.716
R1,HYDRO,2051,59343.975
R1,HYDRO,2052,59796.191
R1,HYDRO,2053,60257.427
R1,HYDRO,2054,60665.918
R1,HYDRO,2055,61085.955
R1,HYDRO,2056,61470.869
R1,HYDRO,2057,61821.275
R1,HYDRO,2058,62186.583
R1,HYDRO,2059,62502.729
R1,HYDRO,2060,62835.756
R1,HYDRO,2061,63137.347
R1,HYDRO,2062,63407.981
R1,HYDRO,2063,63698.127
R1,HYDRO,2064,63941.918
R1,HYDRO,2065,64206.771
R1,HYDRO,2066,64443.075
R1,HYDRO,2067,64651.207
R1,HYDRO,2068,64882.461
R1,HYDRO,2069,65069.56
R1,HYDRO,2070,65280.998
