REGION,YEAR,VALUE
R1,2020,3070045.0
R1,2021,121496.31
R1,2022,116629.25
R1,2023,111965.91
R1,2024,107442.0
R1,2025,103107.79
R1,2026,98917.562
R1,2027,94867.967
R1,2028,90988.591
R1,2029,87229.842
R1,2030,83629.291
R1,2031,80151.606
R1,2032,76793.699
R1,2033,73577.333
R1,2034,70464.535
R1,2035,67483.042
R1,2036,64605.763
R1,2037,61829.916
R1,2038,59171.233
R1,2039,56600.933
R1,2040,54139.131
R1,2041,51765.281
R1,2042,49476.919
R1,2043,47285.123
R1,2044,45168.386
R1,2045,43140.922
R1,2046,41187.375
R1,2047,39305.591
R1,2048,37503.062
R1,2049,35764.035
R1,2050,34098.156
R1,2051,32494.183
R1,2052,30950.255
R1,2053,29471.1
R1,2054,28045.519
R1,2055,26679.615
R1,2056,25365.414
R1,2057,24101.321
R1,2058,22889.934
R1,2059,21723.654
R1,2060,20605.847
R1,2061,19531.125
R1,2062,18498.134
R1,2063,17507.829
R1,2064,16555.462
R1,2065,15642.275
R1,2066,14764.935
R1,2067,13922.297
R1,2068,13114.054
R1,2069,12337.71
R1,2070,11592.864
