TIMESLICE,YEAR,VALUE
S1D1,2020,0.125
S1D2,2020,0.125
S2D1,2020,0.125
S2D2,2020,0.125
S3D1,2020,0.125
S3D2,2020,0.125
S4D1,2020,0.125
S4D2,2020,0.125
S1D1,2021,0.125
S1D2,2021,0.125
S2D1,2021,0.125
S2D2,2021,0.125
S3D1,2021,0.125
S3D2,2021,0.125
S4D1,2021,0.125
S4D2,2021,0.125
S1D1,2022,0.125
S1D2,2022,0.125
S2D1,2022,0.125
S2D2,2022,0.125
S3D1,2022,0.125
S3D2,2022,0.125
S4D1,2022,0.125
S4D2,2022,0.125
S1D1,2023,0.125
S1D2,2023,0.125
S2D1,2023,0.125
S2D2,2023,0.125
S3D1,2023,0.125
S3D2,2023,0.125
S4D1,2023,0.125
S4D2,2023,0.125
S1D1,2024,0.125
S1D2,2024,0.125
S2D1,2024,0.125
S2D2,2024,0.125
S3D1,2024,0.125
S3D2,2024,0.125
S4D1,2024,0.125
S4D2,2024,0.125
S1D1,2025,0.125
S1D2,2025,0.125
S2D1,2025,0.125
S2D2,2025,0.125
S3D1,2025,0.125
S3D2,2025,0.125
S4D1,2025,0.125
S4D2,2025,0.125
S1D1,2026,0.125
S1D2,2026,0.125
S2D1,2026,0.125
S2D2,2026,0.125
S3D1,2026,0.125
S3D2,2026,0.125
S4D1,2026,0.125
S4D2,2026,0.125
S1D1,2027,0.125
S1D2,2027,0.125
S2D1,2027,0.125
S2D2,2027,0.125
S3D1,2027,0.125
S3D2,2027,0.125
S4D1,2027,0.125
S4D2,2027,0.125
S1D1,2028,0.125
S1D2,2028,0.125
S2D1,2028,0.125
S2D2,2028,0.125
S3D1,2028,0.125
S3D2,2028,0.125
S4D1,2028,0.125
S4D2,2028,0.125
S1D1,2029,0.125
S1D2,2029,0.125
S2D1,2029,0.125
S2D2,2029,0.125
S3D1,2029,0.125
S3D2,2029,0.125
S4D1,2029,0.125
S4D2,2029,0.125
S1D1,2030,0.125
S1D2,2030,0.125
S2D1,2030,0.125
S2D2,2030,0.125
S3D1,2030,0.125
S3D2,2030,0.125
S4D1,2030,0.125
S4D2,2030,0.125
S1D1,2031,0.125
S1D2,2031,0.125
S2D1,2031,0.125
S2D2,2031,0.125
S3D1,2031,0.125
S3D2,2031,0.125
S4D1,2031,0.125
S4D2,2031,0.125
S1D1,2032,0.125
S1D2,2032,0.125
S2D1,2032,0.125
S2D2,2032,0.125
S3D1,2032,0.125
S3D2,2032,0.125
S4D1,2032,0.125
S4D2,2032,0.125
S1D1,2033,0.125
S1D2,2033,0.125
S2D1,2033,0.125
S2D2,2033,0.125
S3D1,2033,0.125
S3D2,2033,0.125
S4D1,2033,0.125
S4D2,2033,0.125
S1D1,2034,0.125
S1D2,2034,0.125
S2D1,2034,0.125
S2D2,2034,0.125
S3D1,2034,0.125
S3D2,2034,0.125
S4D1,2034,0.125
S4D2,2034,0.125
S1D1,2035,0.125
S1D2,2035,0.125
S2D1,2035,0.125
S2D2,2035,0.125
S3D1,2035,0.125
S3D2,2035,0.125
S4D1,2035,0.125
S4D2,2035,0.125
S1D1,2036,0.125
S1D2,2036,0.125
S2D1,2036,0.125
S2D2,2036,0.125
S3D1,2036,0.125
S3D2,2036,0.125
S4D1,2036,0.125
S4D2,2036,0.125
S1D1,2037,0.125
S1D2,2037,0.125
S2D1,2037,0.125
S2D2,2037,0.125
S3D1,2037,0.125
S3D2,2037,0.125
S4D1,2037,0.125
S4D2,2037,0.125
S1D1,2038,0.125
S1D2,2038,0.125
S2D1,2038,0.125
S2D2,2038,0.125
S3D1,2038,0.125
S3D2,2038,0.125
S4D1,2038,0.125
S4D2,2038,0.125
S1D1,2039,0.125
S1D2,2039,0.125
S2D1,2039,0.125
S2D2,2039,0.125
S3D1,2039,0.125
S3D2,2039,0.125
S4D1,2039,0.125
S4D2,2039,0.125
S1D1,2040,0.125
S1D2,2040,0.125
S2D1,2040,0.125
S2D2,2040,0.125
S3D1,2040,0.125
S3D2,2040,0.125
S4D1,2040,0.125
S4D2,2040,0.125
S1D1,2041,0.125
S1D2,2041,0.125
S2D1,2041,0.125
S2D2,2041,0.125
S3D1,2041,0.125
S3D2,2041,0.125
S4D1,2041,0.125
S4D2,2041,0.125
S1D1,2042,0.125
S1D2,2042,0.125
S2D1,2042,0.125
S2D2,2042,0.125
S3D1,2042,0.125
S3D2,2042,0.125
S4D1,2042,0.125
S4D2,2042,0.125
S1D1,2043,0.125
S1D2,2043,0.125
S2D1,2043,0.125
S2D2,2043,0.125
S3D1,2043,0.125
S3D2,2043,0.125
S4D1,2043,0.125
S4D2,2043,0.125
S1D1,2044,0.125
S1D2,2044,0.125
S2D1,2044,0.125
S2D2,2044,0.125
S3D1,2044,0.125
S3D2,2044,0.125
S4D1,2044,0.125
S4D2,2044,0.125
S1D1,2045,0.125
S1D2,2045,0.125
S2D1,2045,0.125
S2D2,2045,0.125
S3D1,2045,0.125
S3D2,2045,0.125
S4D1,2045,0.125
S4D2,2045,0.125
S1D1,2046,0.125
S1D2,2046,0.125
S2D1,2046,0.125
S2D2,2046,0.125
S3D1,2046,0.125
S3D2,2046,0.125
S4D1,2046,0.125
S4D2,2046,0.125
S1D1,2047,0.125
S1D2,2047,0.125
S2D1,2047,0.125
S2D2,2047,0.125
S3D1,2047,0.125
S3D2,2047,0.125
S4D1,2047,0.125
S4D2,2047,0.125
S1D1,2048,0.125
S1D2,2048,0.125
S2D1,2048,0.125
S2D2,2048,0.125
S3D1,2048,0.125
S3D2,2048,0.125
S4D1,2048,0.125
S4D2,2048,0.125
