REGION,FUEL,YEAR,VALUE
GLOBAL,ELCNPLXX02,2020,40.65588
GLOBAL,ELCNPLXX02,2021,46.01928959999999
GLOBAL,ELCNPLXX02,2022,51.3826992
GLOBAL,ELCNPLXX02,2023,56.7461088
GLOBAL,ELCNPLXX02,2024,62.1095184
GLOBAL,ELCNPLXX02,2025,67.472928
GLOBAL,ELCNPLXX02,2026,73.7793648
GLOBAL,ELCNPLXX02,2027,80.0858016
GLOBAL,ELCNPLXX02,2028,86.39223839999998
GLOBAL,ELCNPLXX02,2029,92.69867519999998
GLOBAL,ELCNPLXX02,2030,99.005112
GLOBAL,ELCNPLXX02,2031,106.1395128
GLOBAL,ELCNPLXX02,2032,113.2739136
GLOBAL,ELCNPLXX02,2033,120.4083144
GLOBAL,ELCNPLXX02,2034,127.5427152
GLOBAL,ELCNPLXX02,2035,134.67711599999998
GLOBAL,ELCNPLXX02,2036,142.63794
GLOBAL,ELCNPLXX02,2037,150.598764
GLOBAL,ELCNPLXX02,2038,158.559588
GLOBAL,ELCNPLXX02,2039,166.520412
GLOBAL,ELCNPLXX02,2040,174.481236
GLOBAL,ELCNPLXX02,2041,183.154104
GLOBAL,ELCNPLXX02,2042,191.826972
GLOBAL,ELCNPLXX02,2043,200.49984
GLOBAL,ELCNPLXX02,2044,209.172708
GLOBAL,ELCNPLXX02,2045,217.845576
GLOBAL,ELCNPLXX02,2046,227.449188
GLOBAL,ELCNPLXX02,2047,237.0528
GLOBAL,ELCNPLXX02,2048,246.656412
GLOBAL,ELCNPLXX02,2049,256.260024
GLOBAL,ELCNPLXX02,2050,265.863636
GLOBAL,ELCNPLXX02,2051,277.9509168
GLOBAL,ELCNPLXX02,2052,290.0381976
GLOBAL,ELCNPLXX02,2053,302.1254784
GLOBAL,ELCNPLXX02,2054,314.2127592
GLOBAL,ELCNPLXX02,2055,326.30004
GLOBAL,ELCNPLXX02,2056,339.69947039999994
GLOBAL,ELCNPLXX02,2057,353.0989008
GLOBAL,ELCNPLXX02,2058,366.4983312
GLOBAL,ELCNPLXX02,2059,379.8977616
GLOBAL,ELCNPLXX02,2060,393.297192
GLOBAL,ELCNPLXX02,2061,408.002292
GLOBAL,ELCNPLXX02,2062,422.707392
GLOBAL,ELCNPLXX02,2063,437.412492
GLOBAL,ELCNPLXX02,2064,452.117592
GLOBAL,ELCNPLXX02,2065,466.822692
GLOBAL,ELCNPLXX02,2066,482.9159088
GLOBAL,ELCNPLXX02,2067,499.0091256
GLOBAL,ELCNPLXX02,2068,515.1023424
GLOBAL,ELCNPLXX02,2069,531.1955592
GLOBAL,ELCNPLXX02,2070,547.288776
