REGION,EMISSION,YEAR,VALUE
R2,CO2,2020,99999
R2,CO2,2021,99999
R2,CO2,2022,99999
R2,CO2,2023,99999
R2,CO2,2024,99999
R2,CO2,2025,99999
R2,CO2,2026,99999
R2,CO2,2027,99999
R2,CO2,2028,99999
R2,CO2,2029,99999
R2,CO2,2030,99999
R2,CO2,2031,99999
R2,CO2,2032,99999
R2,CO2,2033,99999
R2,CO2,2034,99999
R2,CO2,2035,99999
R2,CO2,2036,99999
R2,CO2,2037,99999
R2,CO2,2038,99999
R2,CO2,2039,99999
R2,CO2,2040,99999
R2,CO2,2041,99999
R2,CO2,2042,99999
R2,CO2,2043,99999
R2,CO2,2044,99999
R2,CO2,2045,99999
R2,CO2,2046,99999
R2,CO2,2047,99999
R2,CO2,2048,99999
R2,CO2,2049,99999
R2,CO2,2050,99999
R2,CO2,2051,99999
R2,CO2,2052,99999
R2,CO2,2053,99999
R2,CO2,2054,99999
R2,CO2,2055,99999
R2,CO2,2056,99999
R2,CO2,2057,99999
R2,CO2,2058,99999
R2,CO2,2059,99999
R2,CO2,2060,99999
R2,CO2,2061,99999
R2,CO2,2062,99999
R2,CO2,2063,99999
R2,CO2,2064,99999
R2,CO2,2065,99999
R2,CO2,2066,99999
R2,CO2,2067,99999
R2,CO2,2068,99999
R2,CO2,2069,99999
R2,CO2,2070,99999
