REGION,TECHNOLOGY,VALUE
R1,PWRCCGNPLXX00,31.536
R1,PWROCGNPLXX00,31.536
R1,PWRHYDNPLXX01,31.536
R1,PWROILNPLXX01,31.536
R1,PWRSPVNPLXX01,31.536
R1,PWROTHNPLXX01,31.536
R1,PWRCSPNPLXX01,31.536
R1,PWRBIONPLXX01,31.536
R1,PWRCOANPLXX01,31.536
R1,PWRURNNPLXX01,31.536
R1,PWRWONNPLXX01,31.536
R1,PWRWASNPLXX01,31.536
R1,PWRWOFNPLXX01,31.536
R1,PWRWAVNPLXX01,31.536
R1,PWRPETNPLXX01,31.536
R1,PWRGEONPLXX01,31.536
R1,PWRCOGNPLXX01,31.536
R1,PWRTRNNPLXX,31.536
R1,PWRCCGNPLXX01,31.536
R1,PWROCGNPLXX01,31.536
R2,PWRCCGNPLXX00,31.536
R2,PWROCGNPLXX00,31.536
R2,PWRHYDNPLXX01,31.536
R2,PWROILNPLXX01,31.536
R2,PWRSPVNPLXX01,31.536
R2,PWROTHNPLXX01,31.536
R2,PWRCSPNPLXX01,31.536
R2,PWRBIONPLXX01,31.536
R2,PWRCOANPLXX01,31.536
R2,PWRURNNPLXX01,31.536
R2,PWRWONNPLXX01,31.536
R2,PWRWASNPLXX01,31.536
R2,PWRWOFNPLXX01,31.536
R2,PWRWAVNPLXX01,31.536
R2,PWRPETNPLXX01,31.536
R2,PWRGEONPLXX01,31.536
R2,PWRCOGNPLXX01,31.536
R2,PWRTRNNPLXX,31.536
R2,PWRCCGNPLXX01,31.536
R2,PWROCGNPLXX01,31.536
