REGION,EMISSION,YEAR,VALUE
R1,CO2,2020,20
R1,CO2,2021,20
R1,CO2,2022,20
R1,CO2,2023,20
R1,CO2,2024,20
R1,CO2,2025,20
R1,CO2,2026,20
R1,CO2,2027,20
R1,CO2,2028,20
R1,CO2,2029,20
R1,CO2,2030,20
R1,CO2,2031,20
R1,CO2,2032,20
R1,CO2,2033,20
R1,CO2,2034,20
R1,CO2,2035,20
R1,CO2,2036,20
R1,CO2,2037,20
R1,CO2,2038,20
R1,CO2,2039,20
R1,CO2,2040,20
R1,CO2,2041,20
R1,CO2,2042,20
R1,CO2,2043,20
R1,CO2,2044,20
R1,CO2,2045,20
R1,CO2,2046,20
R1,CO2,2047,20
R1,CO2,2048,20
R1,CO2,2049,20
R1,CO2,2050,20
R1,CO2,2051,20
R1,CO2,2052,20
R1,CO2,2053,20
R1,CO2,2054,20
R1,CO2,2055,20
R1,CO2,2056,20
R1,CO2,2057,20
R1,CO2,2058,20
R1,CO2,2059,20
R1,CO2,2060,20
R1,CO2,2061,20
R1,CO2,2062,20
R1,CO2,2063,20
R1,CO2,2064,20
R1,CO2,2065,20
R1,CO2,2066,20
R1,CO2,2067,20
R1,CO2,2068,20
R1,CO2,2069,20
R1,CO2,2070,20
R2,CO2,2020,20
R2,CO2,2021,20
R2,CO2,2022,20
R2,CO2,2023,20
R2,CO2,2024,20
R2,CO2,2025,20
R2,CO2,2026,20
R2,CO2,2027,20
R2,CO2,2028,20
R2,CO2,2029,20
R2,CO2,2030,20
R2,CO2,2031,20
R2,CO2,2032,20
R2,CO2,2033,20
R2,CO2,2034,20
R2,CO2,2035,20
R2,CO2,2036,20
R2,CO2,2037,20
R2,CO2,2038,20
R2,CO2,2039,20
R2,CO2,2040,20
R2,CO2,2041,20
R2,CO2,2042,20
R2,CO2,2043,20
R2,CO2,2044,20
R2,CO2,2045,20
R2,CO2,2046,20
R2,CO2,2047,20
R2,CO2,2048,20
R2,CO2,2049,20
R2,CO2,2050,20
R2,CO2,2051,20
R2,CO2,2052,20
R2,CO2,2053,20
R2,CO2,2054,20
R2,CO2,2055,20
R2,CO2,2056,20
R2,CO2,2057,20
R2,CO2,2058,20
R2,CO2,2059,20
R2,CO2,2060,20
R2,CO2,2061,20
R2,CO2,2062,20
R2,CO2,2063,20
R2,CO2,2064,20
R2,CO2,2065,20
R2,CO2,2066,20
R2,CO2,2067,20
R2,CO2,2068,20
R2,CO2,2069,20
R2,CO2,2070,20
