REGION,FUEL,YEAR,VALUE
R2,GASNPL,2020,1
R2,GASNPL,2021,1
R2,GASNPL,2022,1
R2,GASNPL,2023,1
R2,GASNPL,2024,1
R2,GASNPL,2025,1
R2,GASNPL,2026,1
R2,GASNPL,2027,1
R2,GASNPL,2028,1
R2,GASNPL,2029,1
R2,GASNPL,2030,1
R2,GASNPL,2031,1
R2,GASNPL,2032,1
R2,GASNPL,2033,1
R2,GASNPL,2034,1
R2,GASNPL,2035,1
R2,GASNPL,2036,1
R2,GASNPL,2037,1
R2,GASNPL,2038,1
R2,GASNPL,2039,1
R2,GASNPL,2040,1
R2,GASNPL,2041,1
R2,GASNPL,2042,1
R2,GASNPL,2043,1
R2,GASNPL,2044,1
R2,GASNPL,2045,1
R2,GASNPL,2046,1
R2,GASNPL,2047,1
R2,GASNPL,2048,1
R2,GASNPL,2049,1
R2,GASNPL,2050,1
R2,GASNPL,2051,1
R2,GASNPL,2052,1
R2,GASNPL,2053,1
R2,GASNPL,2054,1
R2,GASNPL,2055,1
R2,GASNPL,2056,1
R2,GASNPL,2057,1
R2,GASNPL,2058,1
R2,GASNPL,2059,1
R2,GASNPL,2060,1
R2,GASNPL,2061,1
R2,GASNPL,2062,1
R2,GASNPL,2063,1
R2,GASNPL,2064,1
R2,GASNPL,2065,1
R2,GASNPL,2066,1
R2,GASNPL,2067,1
R2,GASNPL,2068,1
R2,GASNPL,2069,1
R2,GASNPL,2070,1
R2,COANPL,2020,1
R2,COANPL,2021,1
R2,COANPL,2022,1
R2,COANPL,2023,1
R2,COANPL,2024,1
R2,COANPL,2025,1
R2,COANPL,2026,1
R2,COANPL,2027,1
R2,COANPL,2028,1
R2,COANPL,2029,1
R2,COANPL,2030,1
R2,COANPL,2031,1
R2,COANPL,2032,1
R2,COANPL,2033,1
R2,COANPL,2034,1
R2,COANPL,2035,1
R2,COANPL,2036,1
R2,COANPL,2037,1
R2,COANPL,2038,1
R2,COANPL,2039,1
R2,COANPL,2040,1
R2,COANPL,2041,1
R2,COANPL,2042,1
R2,COANPL,2043,1
R2,COANPL,2044,1
R2,COANPL,2045,1
R2,COANPL,2046,1
R2,COANPL,2047,1
R2,COANPL,2048,1
R2,COANPL,2049,1
R2,COANPL,2050,1
R2,COANPL,2051,1
R2,COANPL,2052,1
R2,COANPL,2053,1
R2,COANPL,2054,1
R2,COANPL,2055,1
R2,COANPL,2056,1
R2,COANPL,2057,1
R2,COANPL,2058,1
R2,COANPL,2059,1
R2,COANPL,2060,1
R2,COANPL,2061,1
R2,COANPL,2062,1
R2,COANPL,2063,1
R2,COANPL,2064,1
R2,COANPL,2065,1
R2,COANPL,2066,1
R2,COANPL,2067,1
R2,COANPL,2068,1
R2,COANPL,2069,1
R2,COANPL,2070,1
