REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
R1,MINCOANPL,1,2020,2.240310923
R1,MINCOANPL,2,2020,2.240310923
R1,MINCOANPL,1,2021,2.306859462
R1,MINCOANPL,2,2021,2.306859462
R1,MINCOANPL,1,2022,2.237505869
R1,MINCOANPL,2,2022,2.237505869
R1,MINCOANPL,1,2023,2.168973215
R1,MINCOANPL,2,2023,2.168973215
R1,MINCOANPL,1,2024,2.101546709
R1,MINCOANPL,2,2024,2.101546709
R1,MINCOANPL,1,2025,2.035404007
R1,MINCOANPL,2,2025,2.035404007
R1,MINCOANPL,1,2026,1.973648456
R1,MINCOANPL,2,2026,1.973648456
R1,MINCOANPL,1,2027,1.911892905
R1,MINCOANPL,2,2027,1.911892905
R1,MINCOANPL,1,2028,1.850137354
R1,MINCOANPL,2,2028,1.850137354
R1,MINCOANPL,1,2029,1.788381803
R1,MINCOANPL,2,2029,1.788381803
R1,MINCOANPL,1,2030,1.726626252
R1,MINCOANPL,2,2030,1.726626252
R1,MINCOANPL,1,2031,1.726626252
R1,MINCOANPL,2,2031,1.726626252
R1,MINCOANPL,1,2032,1.726626252
R1,MINCOANPL,2,2032,1.726626252
R1,MINCOANPL,1,2033,1.726626252
R1,MINCOANPL,2,2033,1.726626252
R1,MINCOANPL,1,2034,1.726626252
R1,MINCOANPL,2,2034,1.726626252
R1,MINCOANPL,1,2035,1.726626252
R1,MINCOANPL,2,2035,1.726626252
R1,MINCOANPL,1,2036,1.726626252
R1,MINCOANPL,2,2036,1.726626252
R1,MINCOANPL,1,2037,1.726626252
R1,MINCOANPL,2,2037,1.726626252
R1,MINCOANPL,1,2038,1.726626252
R1,MINCOANPL,2,2038,1.726626252
R1,MINCOANPL,1,2039,1.726626252
R1,MINCOANPL,2,2039,1.726626252
R1,MINCOANPL,1,2040,1.726626252
R1,MINCOANPL,2,2040,1.726626252
R1,MINCOANPL,1,2041,1.726626252
R1,MINCOANPL,2,2041,1.726626252
R1,MINCOANPL,1,2042,1.726626252
R1,MINCOANPL,2,2042,1.726626252
R1,MINCOANPL,1,2043,1.726626252
R1,MINCOANPL,2,2043,1.726626252
R1,MINCOANPL,1,2044,1.726626252
R1,MINCOANPL,2,2044,1.726626252
R1,MINCOANPL,1,2045,1.726626252
R1,MINCOANPL,2,2045,1.726626252
R1,MINCOANPL,1,2046,1.726626252
R1,MINCOANPL,2,2046,1.726626252
R1,MINCOANPL,1,2047,1.726626252
R1,MINCOANPL,2,2047,1.726626252
R1,MINCOANPL,1,2048,1.726626252
R1,MINCOANPL,2,2048,1.726626252
R1,MINCOANPL,1,2049,1.726626252
R1,MINCOANPL,2,2049,1.726626252
R1,MINCOANPL,1,2050,1.726626252
R1,MINCOANPL,2,2050,1.726626252
R1,MINCOANPL,1,2051,1.726626252
R1,MINCOANPL,2,2051,1.726626252
R1,MINCOANPL,1,2052,1.726626252
R1,MINCOANPL,2,2052,1.726626252
R1,MINCOANPL,1,2053,1.726626252
R1,MINCOANPL,2,2053,1.726626252
R1,MINCOANPL,1,2054,1.726626252
R1,MINCOANPL,2,2054,1.726626252
R1,MINCOANPL,1,2055,1.726626252
R1,MINCOANPL,2,2055,1.726626252
R1,MINCOANPL,1,2056,1.726626252
R1,MINCOANPL,2,2056,1.726626252
R1,MINCOANPL,1,2057,1.726626252
R1,MINCOANPL,2,2057,1.726626252
R1,MINCOANPL,1,2058,1.726626252
R1,MINCOANPL,2,2058,1.726626252
R1,MINCOANPL,1,2059,1.726626252
R1,MINCOANPL,2,2059,1.726626252
R1,MINCOANPL,1,2060,1.726626252
R1,MINCOANPL,2,2060,1.726626252
R1,MINCOANPL,1,2061,1.726626252
R1,MINCOANPL,2,2061,1.726626252
R1,MINCOANPL,1,2062,1.726626252
R1,MINCOANPL,2,2062,1.726626252
R1,MINCOANPL,1,2063,1.726626252
R1,MINCOANPL,2,2063,1.726626252
R1,MINCOANPL,1,2064,1.726626252
R1,MINCOANPL,2,2064,1.726626252
R1,MINCOANPL,1,2065,1.726626252
R1,MINCOANPL,2,2065,1.726626252
R1,MINCOANPL,1,2066,1.726626252
R1,MINCOANPL,2,2066,1.726626252
R1,MINCOANPL,1,2067,1.726626252
R1,MINCOANPL,2,2067,1.726626252
R1,MINCOANPL,1,2068,1.726626252
R1,MINCOANPL,2,2068,1.726626252
R1,MINCOANPL,1,2069,1.726626252
R1,MINCOANPL,2,2069,1.726626252
R1,MINCOANPL,1,2070,1.726626252
R1,MINCOANPL,2,2070,1.726626252
R1,MINCOAINT,1,2020,0.336046638
R1,MINCOAINT,2,2020,0.336046638
R1,MINCOAINT,1,2021,0.346028919
R1,MINCOAINT,2,2021,0.346028919
R1,MINCOAINT,1,2022,0.33562588
R1,MINCOAINT,2,2022,0.33562588
R1,MINCOAINT,1,2023,0.325345982
R1,MINCOAINT,2,2023,0.325345982
R1,MINCOAINT,1,2024,0.315232006
R1,MINCOAINT,2,2024,0.315232006
R1,MINCOAINT,1,2025,0.305310601
R1,MINCOAINT,2,2025,0.305310601
R1,MINCOAINT,1,2026,0.296047268
R1,MINCOAINT,2,2026,0.296047268
R1,MINCOAINT,1,2027,0.286783936
R1,MINCOAINT,2,2027,0.286783936
R1,MINCOAINT,1,2028,0.277520603
R1,MINCOAINT,2,2028,0.277520603
R1,MINCOAINT,1,2029,0.26825727
R1,MINCOAINT,2,2029,0.26825727
R1,MINCOAINT,1,2030,0.258993938
R1,MINCOAINT,2,2030,0.258993938
R1,MINCOAINT,1,2031,0.258993938
R1,MINCOAINT,2,2031,0.258993938
R1,MINCOAINT,1,2032,0.258993938
R1,MINCOAINT,2,2032,0.258993938
R1,MINCOAINT,1,2033,0.258993938
R1,MINCOAINT,2,2033,0.258993938
R1,MINCOAINT,1,2034,0.258993938
R1,MINCOAINT,2,2034,0.258993938
R1,MINCOAINT,1,2035,0.258993938
R1,MINCOAINT,2,2035,0.258993938
R1,MINCOAINT,1,2036,0.258993938
R1,MINCOAINT,2,2036,0.258993938
R1,MINCOAINT,1,2037,0.258993938
R1,MINCOAINT,2,2037,0.258993938
R1,MINCOAINT,1,2038,0.258993938
R1,MINCOAINT,2,2038,0.258993938
R1,MINCOAINT,1,2039,0.258993938
R1,MINCOAINT,2,2039,0.258993938
R1,MINCOAINT,1,2040,0.258993938
R1,MINCOAINT,2,2040,0.258993938
R1,MINCOAINT,1,2041,0.258993938
R1,MINCOAINT,2,2041,0.258993938
R1,MINCOAINT,1,2042,0.258993938
R1,MINCOAINT,2,2042,0.258993938
R1,MINCOAINT,1,2043,0.258993938
R1,MINCOAINT,2,2043,0.258993938
R1,MINCOAINT,1,2044,0.258993938
R1,MINCOAINT,2,2044,0.258993938
R1,MINCOAINT,1,2045,0.258993938
R1,MINCOAINT,2,2045,0.258993938
R1,MINCOAINT,1,2046,0.258993938
R1,MINCOAINT,2,2046,0.258993938
R1,MINCOAINT,1,2047,0.258993938
R1,MINCOAINT,2,2047,0.258993938
R1,MINCOAINT,1,2048,0.258993938
R1,MINCOAINT,2,2048,0.258993938
R1,MINCOAINT,1,2049,0.258993938
R1,MINCOAINT,2,2049,0.258993938
R1,MINCOAINT,1,2050,0.258993938
R1,MINCOAINT,2,2050,0.258993938
R1,MINCOAINT,1,2051,0.258993938
R1,MINCOAINT,2,2051,0.258993938
R1,MINCOAINT,1,2052,0.258993938
R1,MINCOAINT,2,2052,0.258993938
R1,MINCOAINT,1,2053,0.258993938
R1,MINCOAINT,2,2053,0.258993938
R1,MINCOAINT,1,2054,0.258993938
R1,MINCOAINT,2,2054,0.258993938
R1,MINCOAINT,1,2055,0.258993938
R1,MINCOAINT,2,2055,0.258993938
R1,MINCOAINT,1,2056,0.258993938
R1,MINCOAINT,2,2056,0.258993938
R1,MINCOAINT,1,2057,0.258993938
R1,MINCOAINT,2,2057,0.258993938
R1,MINCOAINT,1,2058,0.258993938
R1,MINCOAINT,2,2058,0.258993938
R1,MINCOAINT,1,2059,0.258993938
R1,MINCOAINT,2,2059,0.258993938
R1,MINCOAINT,1,2060,0.258993938
R1,MINCOAINT,2,2060,0.258993938
R1,MINCOAINT,1,2061,0.258993938
R1,MINCOAINT,2,2061,0.258993938
R1,MINCOAINT,1,2062,0.258993938
R1,MINCOAINT,2,2062,0.258993938
R1,MINCOAINT,1,2063,0.258993938
R1,MINCOAINT,2,2063,0.258993938
R1,MINCOAINT,1,2064,0.258993938
R1,MINCOAINT,2,2064,0.258993938
R1,MINCOAINT,1,2065,0.258993938
R1,MINCOAINT,2,2065,0.258993938
R1,MINCOAINT,1,2066,0.258993938
R1,MINCOAINT,2,2066,0.258993938
R1,MINCOAINT,1,2067,0.258993938
R1,MINCOAINT,2,2067,0.258993938
R1,MINCOAINT,1,2068,0.258993938
R1,MINCOAINT,2,2068,0.258993938
R1,MINCOAINT,1,2069,0.258993938
R1,MINCOAINT,2,2069,0.258993938
R1,MINCOAINT,1,2070,0.258993938
R1,MINCOAINT,2,2070,0.258993938
R1,MINCOGNPL,1,2020,2.968225831
R1,MINCOGNPL,2,2020,2.968225831
R1,MINCOGNPL,1,2021,3.86399351
R1,MINCOGNPL,2,2021,3.86399351
R1,MINCOGNPL,1,2022,4.033033795
R1,MINCOGNPL,2,2022,4.033033795
R1,MINCOGNPL,1,2023,4.207017264
