REGION,TECHNOLOGY,YEAR,VALUE
R1,HYDRO,2020,4800
R1,HYDRO,2021,4800
R1,HYDRO,2022,4800
R1,HYDRO,2023,4800
R1,HYDRO,2024,4800
R1,HYDRO,2025,4800
R1,HYDRO,2026,4800
R1,HYDRO,2027,4800
R1,HYDRO,2028,4800
R1,HYDRO,2029,4800
R1,HYDRO,2030,4800
R1,HYDRO,2031,4800
R1,HYDRO,2032,4800
R1,HYDRO,2033,4800
R1,HYDRO,2034,4800
R1,HYDRO,2035,4800
R1,HYDRO,2036,4800
R1,HYDRO,2037,4800
R1,HYDRO,2038,4800
R1,HYDRO,2039,4800
R1,HYDRO,2040,4800
R1,HYDRO,2041,4800
R1,HYDRO,2042,4800
R1,HYDRO,2043,4800
R1,HYDRO,2044,4800
R1,HYDRO,2045,4800
R1,HYDRO,2046,4800
R1,HYDRO,2047,4800
R1,HYDRO,2048,4800
R1,HYDRO,2049,4800
R1,HYDRO,2050,4800
R1,HYDRO,2051,4800
R1,HYDRO,2052,4800
R1,HYDRO,2053,4800
R1,HYDRO,2054,4800
R1,HYDRO,2055,4800
R1,HYDRO,2056,4800
R1,HYDRO,2057,4800
R1,HYDRO,2058,4800
R1,HYDRO,2059,4800
R1,HYDRO,2060,4800
R1,HYDRO,2061,4800
R1,HYDRO,2062,4800
R1,HYDRO,2063,4800
R1,HYDRO,2064,4800
R1,HYDRO,2065,4800
R1,HYDRO,2066,4800
R1,HYDRO,2067,4800
R1,HYDRO,2068,4800
R1,HYDRO,2069,4800
R1,HYDRO,2070,4800
