REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCCGNPLXX01,2042,0.14236629
GLOBAL,PWRCCGNPLXX01,2043,0.27795322
GLOBAL,PWRCCGNPLXX01,2044,0.40708364
GLOBAL,PWRCCGNPLXX01,2045,0.53006499
GLOBAL,PWRCCGNPLXX01,2046,0.71658785
GLOBAL,PWRCCGNPLXX01,2047,0.84018423
GLOBAL,PWRCCGNPLXX01,2048,0.95772426
GLOBAL,PWRCCGNPLXX01,2049,1.0698619
GLOBAL,PWRCCGNPLXX01,2050,14.741377
GLOBAL,PWRCCGNPLXX01,2051,1.6086461
GLOBAL,PWRCCGNPLXX01,2052,1.7304506
GLOBAL,PWRCCGNPLXX01,2053,1.8464549
GLOBAL,PWRCCGNPLXX01,2054,1.9570971
GLOBAL,PWRCCGNPLXX01,2055,2.0621545
GLOBAL,PWRCCGNPLXX01,2056,2.3970801
GLOBAL,PWRCCGNPLXX01,2057,2.5030632
GLOBAL,PWRCCGNPLXX01,2058,2.6036348
GLOBAL,PWRCCGNPLXX01,2059,2.6997967
GLOBAL,PWRCCGNPLXX01,2060,2.7909861
GLOBAL,PWRCCGNPLXX01,2061,3.158546
GLOBAL,PWRCCGNPLXX01,2062,3.2495199
GLOBAL,PWRCCGNPLXX01,2063,3.3361618
GLOBAL,PWRCCGNPLXX01,2064,3.4189103
GLOBAL,PWRCCGNPLXX01,2065,3.4972645
GLOBAL,PWRCCGNPLXX01,2066,3.9092791
GLOBAL,PWRCCGNPLXX01,2067,3.9872877
GLOBAL,PWRCCGNPLXX01,2068,4.0615815
GLOBAL,PWRCCGNPLXX01,2069,4.1325944
GLOBAL,PWRCCGNPLXX01,2070,4.1997244
GLOBAL,PWRCOANPLXX01,2042,2.0195099
GLOBAL,PWRCOANPLXX01,2043,3.9428527
GLOBAL,PWRCOANPLXX01,2044,5.7746077
GLOBAL,PWRCOANPLXX01,2045,7.5191363
GLOBAL,PWRCOANPLXX01,2046,10.165021
GLOBAL,PWRCOANPLXX01,2047,11.918274
GLOBAL,PWRCOANPLXX01,2048,13.585616
GLOBAL,PWRCOANPLXX01,2049,15.176322
GLOBAL,PWRCOANPLXX01,2050,53.966166
GLOBAL,PWRCOANPLXX01,2051,33.03892
GLOBAL,PWRCOANPLXX01,2052,35.540582
GLOBAL,PWRCOANPLXX01,2053,37.923117
GLOBAL,PWRCOANPLXX01,2054,40.194495
GLOBAL,PWRCOANPLXX01,2055,42.353229
GLOBAL,PWRCOANPLXX01,2056,50.155544
GLOBAL,PWRCOANPLXX01,2057,53.270037
GLOBAL,PWRCOANPLXX01,2058,57.786818
GLOBAL,PWRCOANPLXX01,2059,59.919829
GLOBAL,PWRCOANPLXX01,2060,62.233191
GLOBAL,PWRCOANPLXX01,2061,70.587266
GLOBAL,PWRCOANPLXX01,2062,72.922689
GLOBAL,PWRCOANPLXX01,2063,74.867023
GLOBAL,PWRCOANPLXX01,2064,76.726025
GLOBAL,PWRCOANPLXX01,2065,78.482339
GLOBAL,PWRCOANPLXX01,2066,88.363436
GLOBAL,PWRCOANPLXX01,2067,72.53342
GLOBAL,PWRCOANPLXX01,2068,89.7827
GLOBAL,PWRCOANPLXX01,2069,91.346319
GLOBAL,PWRCOANPLXX01,2070,92.47211
GLOBAL,PWRSPVNPLXX01,2042,0.19564257
GLOBAL,PWRSPVNPLXX01,2043,0.38196884
GLOBAL,PWRSPVNPLXX01,2044,0.55942242
GLOBAL,PWRSPVNPLXX01,2045,1.1054424
GLOBAL,PWRSPVNPLXX01,2046,0.98474924
GLOBAL,PWRSPVNPLXX01,2047,1.1545978
GLOBAL,PWRSPVNPLXX01,2048,1.3161237
GLOBAL,PWRSPVNPLXX01,2049,1.4702254
GLOBAL,PWRSPVNPLXX01,2050,6.8839022
GLOBAL,PWRSPVNPLXX01,2051,3.0737933
GLOBAL,PWRSPVNPLXX01,2052,3.3065367
GLOBAL,PWRSPVNPLXX01,2053,3.5281971
GLOBAL,PWRSPVNPLXX01,2054,3.7395248
GLOBAL,PWRSPVNPLXX01,2055,3.9403549
GLOBAL,PWRSPVNPLXX01,2056,5.0632999
GLOBAL,PWRSPVNPLXX01,2057,6.5554258
GLOBAL,PWRSPVNPLXX01,2058,3.5779667
GLOBAL,PWRSPVNPLXX01,2059,3.7101143
GLOBAL,PWRSPVNPLXX01,2060,3.8354285
GLOBAL,PWRSPVNPLXX01,2061,4.3405366
GLOBAL,PWRSPVNPLXX01,2062,4.4655548
GLOBAL,PWRSPVNPLXX01,2063,4.5846197
GLOBAL,PWRSPVNPLXX01,2064,4.6983343
GLOBAL,PWRSPVNPLXX01,2065,4.8060102
GLOBAL,PWRSPVNPLXX01,2066,5.3722089
GLOBAL,PWRSPVNPLXX01,2067,29.48803
GLOBAL,PWRSPVNPLXX01,2068,8.3426051
GLOBAL,PWRSPVNPLXX01,2069,8.4879401
GLOBAL,PWRSPVNPLXX01,2070,9.6161653
GLOBAL,PWRWOFNPLXX01,2050,0.015110676
