REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCCGNPLXX01,2020,13.749085
GLOBAL,PWRCCGNPLXX01,2021,9.1529896
GLOBAL,PWRCCGNPLXX01,2022,8.5675541
GLOBAL,PWRCCGNPLXX01,2023,8.0171193
GLOBAL,PWRCCGNPLXX01,2024,7.4996793
GLOBAL,PWRCCGNPLXX01,2025,7.0133398
GLOBAL,PWRCCGNPLXX01,2026,6.4908152
GLOBAL,PWRCCGNPLXX01,2027,5.7900188
GLOBAL,PWRCCGNPLXX01,2028,5.0856136
GLOBAL,PWRCCGNPLXX01,2029,4.4351589
GLOBAL,PWRCCGNPLXX01,2030,3.7986183
GLOBAL,PWRCCGNPLXX01,2031,3.2585967
GLOBAL,PWRCCGNPLXX01,2032,2.9154581
GLOBAL,PWRCCGNPLXX01,2033,2.5991952
GLOBAL,PWRCCGNPLXX01,2034,2.3064179
GLOBAL,PWRCCGNPLXX01,2035,2.0356529
GLOBAL,PWRCCGNPLXX01,2036,1.7676772
GLOBAL,PWRCCGNPLXX01,2037,2.0290521
GLOBAL,PWRCCGNPLXX01,2038,1.8319627
GLOBAL,PWRCCGNPLXX01,2039,1.6490547
GLOBAL,PWRCCGNPLXX01,2040,1.4785882
GLOBAL,PWRCCGNPLXX01,2041,1.3183032
GLOBAL,PWRCCGNPLXX01,2042,1.3523076
GLOBAL,PWRCCGNPLXX01,2043,1.3800842
GLOBAL,PWRCCGNPLXX01,2044,1.402149
GLOBAL,PWRCCGNPLXX01,2045,1.4189828
GLOBAL,PWRCCGNPLXX01,2046,1.4395718
GLOBAL,PWRCCGNPLXX01,2047,1.454991
GLOBAL,PWRCCGNPLXX01,2048,1.4656691
GLOBAL,PWRCCGNPLXX01,2049,1.4720388
GLOBAL,PWRCCGNPLXX01,2050,1.480005
GLOBAL,PWRCCGNPLXX01,2051,1.4964716
GLOBAL,PWRCCGNPLXX01,2052,1.5080139
GLOBAL,PWRCCGNPLXX01,2053,1.5150636
GLOBAL,PWRCCGNPLXX01,2054,1.5180285
GLOBAL,PWRCCGNPLXX01,2055,1.5172697
GLOBAL,PWRCCGNPLXX01,2056,1.5205353
GLOBAL,PWRCCGNPLXX01,2057,1.5200547
GLOBAL,PWRCCGNPLXX01,2058,1.5161669
GLOBAL,PWRCCGNPLXX01,2059,1.5092073
GLOBAL,PWRCCGNPLXX01,2060,1.4994679
GLOBAL,PWRCCGNPLXX01,2061,1.4930011
GLOBAL,PWRCCGNPLXX01,2062,1.48375
GLOBAL,PWRCCGNPLXX01,2063,1.4719945
GLOBAL,PWRCCGNPLXX01,2064,1.4579978
GLOBAL,PWRCCGNPLXX01,2065,1.4419927
GLOBAL,PWRCCGNPLXX01,2066,1.4290082
GLOBAL,PWRCCGNPLXX01,2067,1.4139905
GLOBAL,PWRCCGNPLXX01,2068,1.3971627
GLOBAL,PWRCCGNPLXX01,2069,1.3787342
GLOBAL,PWRCCGNPLXX01,2070,1.3588898
