REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S1D1,MINCOANPL,1,2020,41.629978
GLOBAL,S1D1,MINCOANPL,1,2021,77.651124
GLOBAL,S1D1,MINCOANPL,1,2022,93.298713
GLOBAL,S1D1,MINCOANPL,1,2023,108.9463
GLOBAL,S1D1,MINCOANPL,1,2024,124.59389
GLOBAL,S1D1,MINCOANPL,1,2025,140.24148
GLOBAL,S1D1,MINCOANPL,1,2026,158.63946
GLOBAL,S1D1,MINCOANPL,1,2027,173.27648
GLOBAL,S1D1,MINCOANPL,1,2028,189.24916
GLOBAL,S1D1,MINCOANPL,1,2029,205.22211
GLOBAL,S1D1,MINCOANPL,1,2030,221.19479
GLOBAL,S1D1,MINCOANPL,1,2031,239.26589
GLOBAL,S1D1,MINCOANPL,1,2032,257.3347
GLOBAL,S1D1,MINCOANPL,1,2033,275.40351
GLOBAL,S1D1,MINCOANPL,1,2034,293.47486
GLOBAL,S1D1,MINCOANPL,1,2035,311.54367
GLOBAL,S1D1,MINCOANPL,1,2036,331.70709
GLOBAL,S1D1,MINCOANPL,1,2037,336.90107
GLOBAL,S1D1,MINCOANPL,1,2038,355.37442
GLOBAL,S1D1,MINCOANPL,1,2039,373.84545
GLOBAL,S1D1,MINCOANPL,1,2040,391.73288
GLOBAL,S1D1,MINCOANPL,1,2041,412.15138
GLOBAL,S1D1,MINCOANPL,1,2042,432.27692
GLOBAL,S1D1,MINCOANPL,1,2043,452.40246
GLOBAL,S1D1,MINCOANPL,1,2044,472.52799
GLOBAL,S1D1,MINCOANPL,1,2045,492.65353
GLOBAL,S1D1,MINCOANPL,1,2046,514.93712
GLOBAL,S1D1,MINCOANPL,1,2047,537.22302
GLOBAL,S1D1,MINCOANPL,1,2048,559.50661
GLOBAL,S1D1,MINCOANPL,1,2049,581.79251
GLOBAL,S1D1,MINCOANPL,1,2050,604.07842
GLOBAL,S1D1,MINCOANPL,1,2051,632.12608
GLOBAL,S1D1,MINCOANPL,1,2052,660.17374
GLOBAL,S1D1,MINCOANPL,1,2053,688.22141
GLOBAL,S1D1,MINCOANPL,1,2054,716.27139
GLOBAL,S1D1,MINCOANPL,1,2055,744.31905
GLOBAL,S1D1,MINCOANPL,1,2056,775.41118
GLOBAL,S1D1,MINCOANPL,1,2057,806.50564
GLOBAL,S1D1,MINCOANPL,1,2058,837.59777
GLOBAL,S1D1,MINCOANPL,1,2059,868.69223
GLOBAL,S1D1,MINCOANPL,1,2060,899.78436
GLOBAL,S1D1,MINCOANPL,1,2061,933.90704
GLOBAL,S1D1,MINCOANPL,1,2062,968.02973
GLOBAL,S1D1,MINCOANPL,1,2063,1002.1524
GLOBAL,S1D1,MINCOANPL,1,2064,1036.2774
GLOBAL,S1D1,MINCOANPL,1,2065,1070.4001
GLOBAL,S1D1,MINCOANPL,1,2066,1107.7436
GLOBAL,S1D1,MINCOANPL,1,2067,1145.0871
GLOBAL,S1D1,MINCOANPL,1,2068,1182.4306
GLOBAL,S1D1,MINCOANPL,1,2069,1219.7765
GLOBAL,S1D1,MINCOANPL,1,2070,1257.12
GLOBAL,S1D2,MINCOANPL,1,2020,43.14998
GLOBAL,S1D2,MINCOANPL,1,2021,77.651124
