REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2020,41.629978
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2021,77.651124
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2022,93.298713
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2023,108.9463
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2024,124.59389
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2025,140.24148
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2026,158.63946
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2027,173.27648
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2028,189.24916
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2029,205.22211
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2030,221.19479
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2031,239.26589
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2032,257.3347
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2033,275.40351
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2034,293.47486
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2035,311.54367
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2036,331.70709
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2037,336.90107
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2038,355.37442
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2039,373.84545
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2040,391.73288
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2041,412.15138
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2042,432.27692
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2043,452.40246
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2044,472.52799
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2045,492.65353
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2046,514.93712
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2047,537.22302
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2048,559.50661
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2049,581.79251
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2050,604.07842
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2051,632.12608
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2052,660.17374
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2053,688.22141
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2054,716.27139
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2055,744.31905
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2056,775.41118
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2057,806.50564
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2058,837.59777
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2059,868.69223
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2060,899.78436
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2061,933.90704
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2062,968.02973
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2063,1002.1524
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2064,1036.2774
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2065,1070.4001
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2066,1107.7436
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2067,1145.0871
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2068,1182.4306
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2069,1219.7765
GLOBAL,S1D1,PWRCOANPLXX01,COANPL,2070,1257.12
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2020,35.264459
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2021,39.916611
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2022,44.568762
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2023,49.220914
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2024,53.873065
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2025,58.525216
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2026,63.995402
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2027,69.465501
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2028,74.935599
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2029,80.405785
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2030,85.875884
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2031,92.064614
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2032,98.252563
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2033,104.44051
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2034,110.62933
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2035,116.81728
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2036,123.72256
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2037,130.62784
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2038,137.53312
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2039,144.43753
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2040,151.34281
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2041,158.86567
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2042,166.38853
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2043,173.91139
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2044,181.43425
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2045,188.95711
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2046,197.28664
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2047,205.61704
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2048,213.94657
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2049,222.27697
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2050,230.60737
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2051,241.0915
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2052,251.57562
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2053,262.05975
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2054,272.54474
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2055,283.02886
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2056,294.651
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2057,306.27401
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2058,317.89614
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2059,329.51915
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2060,341.14129
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2061,353.89624
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2062,366.65118
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2063,379.40613
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2064,392.16195
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2065,404.91689
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2066,418.87578
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2067,432.83466
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2068,446.79354
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2069,460.75329
GLOBAL,S1D1,PWRTRNNPLXX,ELCNPLXX01,2070,474.71218
GLOBAL,S1D1,PWRCCGNPLXX01,GASNPL,2020,28.009184
GLOBAL,S1D1,PWRCCGNPLXX01,GASNPL,2021,11.95523
GLOBAL,S1D1,PWRCCGNPLXX01,GASNPL,2022,9.8557673
GLOBAL,S1D1,PWRCCGNPLXX01,GASNPL,2023,7.7563046
GLOBAL,S1D1,PWRCCGNPLXX01,GASNPL,2024,5.6568418
GLOBAL,S1D1,PWRCCGNPLXX01,GASNPL,2025,3.557379
GLOBAL,S1D1,PWRCCGNPLXX01,GASNPL,2026,0.85001509
GLOBAL,S1D1,PWRHYDNPLXX01,HYDNPLXX,2020,4.395789
GLOBAL,S1D1,PWRHYDNPLXX01,HYDNPLXX,2021,4.395789
GLOBAL,S1D1,PWRHYDNPLXX01,HYDNPLXX,2022,4.395789
GLOBAL,S1D1,PWRHYDNPLXX01,HYDNPLXX,2023,4.395789
GLOBAL,S1D1,PWRHYDNPLXX01,HYDNPLXX,2024,4.395789
GLOBAL,S1D1,PWRHYDNPLXX01,HYDNPLXX,2025,4.395789
