REGION,TECHNOLOGY,YEAR,VALUE
R1,HYDRO,2020,64661.096
R1,HYDRO,2021,66024.974
R1,HYDRO,2022,67388.495
R1,HYDRO,2023,68752.373
R1,HYDRO,2024,70115.895
R1,HYDRO,2025,71479.773
R1,HYDRO,2026,72843.651
R1,HYDRO,2027,74207.172
R1,HYDRO,2028,75571.05
R1,HYDRO,2029,76934.571
R1,HYDRO,2030,78298.449
R1,HYDRO,2031,79662.327
R1,HYDRO,2032,81025.849
R1,HYDRO,2033,82389.727
R1,HYDRO,2034,83753.248
R1,HYDRO,2035,85117.126
R1,HYDRO,2036,86481.004
R1,HYDRO,2037,87844.525
R1,HYDRO,2038,89208.403
R1,HYDRO,2039,90571.925
R1,HYDRO,2040,91935.803
R1,HYDRO,2041,93299.681
R1,HYDRO,2042,94663.202
R1,HYDRO,2043,96027.08
R1,HYDRO,2044,97390.601
R1,HYDRO,2045,98754.479
R1,HYDRO,2046,100118.36
R1,HYDRO,2047,101481.88
R1,HYDRO,2048,102845.76
R1,HYDRO,2049,104209.28
R1,HYDRO,2050,105573.16
R1,HYDRO,2051,106937.03
R1,HYDRO,2052,108300.56
R1,HYDRO,2053,109664.43
R1,HYDRO,2054,111027.95
R1,HYDRO,2055,112391.83
R1,HYDRO,2056,113755.71
R1,HYDRO,2057,115119.23
R1,HYDRO,2058,116483.11
R1,HYDRO,2059,117846.63
R1,HYDRO,2060,119210.51
R1,HYDRO,2061,120574.39
R1,HYDRO,2062,121937.91
R1,HYDRO,2063,123301.79
R1,HYDRO,2064,124665.31
R1,HYDRO,2065,126029.19
R1,HYDRO,2066,127393.06
R1,HYDRO,2067,128756.59
R1,HYDRO,2068,130120.46
R1,HYDRO,2069,131483.98
R1,HYDRO,2070,132847.86
