REGION,TIMESLICE,FUEL,YEAR,VALUE
R1,S1D1,ELC_02,2020,2162.622
R1,S1D1,ELC_02,2021,2208.2376
R1,S1D1,ELC_02,2022,2253.8412
R1,S1D1,ELC_02,2023,2299.4568
R1,S1D1,ELC_02,2024,2345.0604
R1,S1D1,ELC_02,2025,2390.676
R1,S1D1,ELC_02,2026,2436.2915
R1,S1D1,ELC_02,2027,2481.8952
R1,S1D1,ELC_02,2028,2527.5108
R1,S1D1,ELC_02,2029,2573.1144
R1,S1D1,ELC_02,2030,2618.73
R1,S1D1,ELC_02,2031,2664.3455
R1,S1D1,ELC_02,2032,2709.9492
R1,S1D1,ELC_02,2033,2755.5647
R1,S1D1,ELC_02,2034,2801.1684
R1,S1D1,ELC_02,2035,2846.7839
R1,S1D1,ELC_02,2036,2892.3995
R1,S1D1,ELC_02,2037,2938.0031
R1,S1D1,ELC_02,2038,2983.6187
R1,S1D1,ELC_02,2039,3029.2224
R1,S1D1,ELC_02,2040,3074.8379
R1,S1D1,ELC_02,2041,3120.4535
R1,S1D1,ELC_02,2042,3166.0571
R1,S1D1,ELC_02,2043,3211.6727
R1,S1D1,ELC_02,2044,3257.2763
R1,S1D1,ELC_02,2045,3302.8919
R1,S1D1,ELC_02,2046,3348.5075
R1,S1D1,ELC_02,2047,3394.1111
R1,S1D1,ELC_02,2048,3439.7267
R1,S1D1,ELC_02,2049,3485.3303
R1,S1D1,ELC_02,2050,3530.9459
R1,S1D1,ELC_02,2051,3576.5615
R1,S1D1,ELC_02,2052,3622.1651
R1,S1D1,ELC_02,2053,3667.7807
R1,S1D1,ELC_02,2054,3713.3843
R1,S1D1,ELC_02,2055,3758.9999
R1,S1D1,ELC_02,2056,3804.6154
R1,S1D1,ELC_02,2057,3850.2191
R1,S1D1,ELC_02,2058,3895.8346
R1,S1D1,ELC_02,2059,3941.4383
R1,S1D1,ELC_02,2060,3987.0538
R1,S1D1,ELC_02,2061,4032.6694
R1,S1D1,ELC_02,2062,4078.273
R1,S1D1,ELC_02,2063,4123.8886
R1,S1D1,ELC_02,2064,4169.4923
R1,S1D1,ELC_02,2065,4215.1078
R1,S1D1,ELC_02,2066,4260.7234
R1,S1D1,ELC_02,2067,4306.327
R1,S1D1,ELC_02,2068,4351.9426
R1,S1D1,ELC_02,2069,4397.5462
R1,S1D1,ELC_02,2070,4443.1618
R1,S1D2,ELC_02,2020,2094.672
R1,S1D2,ELC_02,2021,2138.8543
R1,S1D2,ELC_02,2022,2183.0251
R1,S1D2,ELC_02,2023,2227.2074
R1,S1D2,ELC_02,2024,2271.3782
R1,S1D2,ELC_02,2025,2315.5605
R1,S1D2,ELC_02,2026,2359.7428
R1,S1D2,ELC_02,2027,2403.9136
R1,S1D2,ELC_02,2028,2448.0959
R1,S1D2,ELC_02,2029,2492.2666
R1,S1D2,ELC_02,2030,2536.449
R1,S1D2,ELC_02,2031,2580.6313
R1,S1D2,ELC_02,2032,2624.802
R1,S1D2,ELC_02,2033,2668.9844
R1,S1D2,ELC_02,2034,2713.1551
R1,S1D2,ELC_02,2035,2757.3374
R1,S1D2,ELC_02,2036,2801.5198
R1,S1D2,ELC_02,2037,2845.6905
R1,S1D2,ELC_02,2038,2889.8728
R1,S1D2,ELC_02,2039,2934.0436
R1,S1D2,ELC_02,2040,2978.2259
R1,S1D2,ELC_02,2041,3022.4082
R1,S1D2,ELC_02,2042,3066.579
R1,S1D2,ELC_02,2043,3110.7613
R1,S1D2,ELC_02,2044,3154.9321
R1,S1D2,ELC_02,2045,3199.1144
R1,S1D2,ELC_02,2046,3243.2967
R1,S1D2,ELC_02,2047,3287.4675
R1,S1D2,ELC_02,2048,3331.6498
R1,S1D2,ELC_02,2049,3375.8206
R1,S1D2,ELC_02,2050,3420.0029
R1,S1D2,ELC_02,2051,3464.1852
R1,S1D2,ELC_02,2052,3508.356
R1,S1D2,ELC_02,2053,3552.5383
R1,S1D2,ELC_02,2054,3596.709
R1,S1D2,ELC_02,2055,3640.8914
R1,S1D2,ELC_02,2056,3685.0737
R1,S1D2,ELC_02,2057,3729.2444
R1,S1D2,ELC_02,2058,3773.4268
R1,S1D2,ELC_02,2059,3817.5975
R1,S1D2,ELC_02,2060,3861.7798
R1,S1D2,ELC_02,2061,3905.9622
R1,S1D2,ELC_02,2062,3950.1329
R1,S1D2,ELC_02,2063,3994.3152
R1,S1D2,ELC_02,2064,4038.486
R1,S1D2,ELC_02,2065,4082.6683
R1,S1D2,ELC_02,2066,4126.8506
R1,S1D2,ELC_02,2067,4171.0214
R1,S1D2,ELC_02,2068,4215.2037
R1,S1D2,ELC_02,2069,4259.3745
R1,S1D2,ELC_02,2070,4303.5568
R1,S2D1,ELC_02,2020,2184.9096
R1,S2D1,ELC_02,2021,2230.9953
R1,S2D1,ELC_02,2022,2277.0689
R1,S2D1,ELC_02,2023,2323.1546
R1,S2D1,ELC_02,2024,2369.2282
R1,S2D1,ELC_02,2025,2415.3139
R1,S2D1,ELC_02,2026,2461.3995
R1,S2D1,ELC_02,2027,2507.4732
R1,S2D1,ELC_02,2028,2553.5588
R1,S2D1,ELC_02,2029,2599.6325
R1,S2D1,ELC_02,2030,2645.7181
R1,S2D1,ELC_02,2031,2691.8038
R1,S2D1,ELC_02,2032,2737.8774
R1,S2D1,ELC_02,2033,2783.9631
R1,S2D1,ELC_02,2034,2830.0367
R1,S2D1,ELC_02,2035,2876.1224
