REGION,TECHNOLOGY,YEAR,VALUE
R1,HYDRO,2020,96790.393
R1,HYDRO,2021,2217.9059
R1,HYDRO,2022,2385.2185
R1,HYDRO,2023,2545.7825
R1,HYDRO,2024,2697.4002
R1,HYDRO,2025,2843.1763
R1,HYDRO,2026,2981.3384
R1,HYDRO,2027,3112.1068
R1,HYDRO,2028,3238.2383
R1,HYDRO,2029,3356.7094
R1,HYDRO,2030,3471.2541
R1,HYDRO,2031,3579.5077
R1,HYDRO,2032,3681.6428
R1,HYDRO,2033,3780.7955
R1,HYDRO,2034,3873.2953
R1,HYDRO,2035,3963.3695
R1,HYDRO,2036,4048.189
R1,HYDRO,2037,4127.8892
R1,HYDRO,2038,4205.9033
R1,HYDRO,2039,4278.0539
R1,HYDRO,2040,4348.9548
R1,HYDRO,2041,4415.4131
R1,HYDRO,2042,4477.5349
R1,HYDRO,2043,4538.9863
R1,HYDRO,2044,4595.1929
R1,HYDRO,2045,4651.0709
R1,HYDRO,2046,4703.1427
R1,HYDRO,2047,4751.4914
R1,HYDRO,2048,4799.9656
R1,HYDRO,2049,4843.6796
R1,HYDRO,2050,4887.7868
R1,HYDRO,2051,4928.5865
R1,HYDRO,2052,4966.1436
R1,HYDRO,2053,5004.4497
R1,HYDRO,2054,5038.3754
R1,HYDRO,2055,5073.26
R1,HYDRO,2056,5105.2275
R1,HYDRO,2057,5134.3291
R1,HYDRO,2058,5164.6684
R1,HYDRO,2059,5190.9247
R1,HYDRO,2060,5218.583
R1,HYDRO,2061,5243.6304
R1,HYDRO,2062,5266.1069
R1,HYDRO,2063,5290.2039
R1,HYDRO,2064,5310.451
R1,HYDRO,2065,5332.4474
R1,HYDRO,2066,5352.0727
R1,HYDRO,2067,5369.3583
R1,HYDRO,2068,5388.5642
R1,HYDRO,2069,5404.103
R1,HYDRO,2070,5421.6631
