REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
R1,S1D1,HYDRO,WATER,2020,40783.046
R1,S1D1,HYDRO,WATER,2021,41643.272
R1,S1D1,HYDRO,WATER,2022,42503.272
R1,S1D1,HYDRO,WATER,2023,43363.497
R1,S1D1,HYDRO,WATER,2024,37520.967
R1,S1D1,HYDRO,WATER,2025,45083.722
R1,S1D1,HYDRO,WATER,2026,45943.947
R1,S1D1,HYDRO,WATER,2027,46803.947
R1,S1D1,HYDRO,WATER,2028,40440.172
R1,S1D1,HYDRO,WATER,2029,41169.83
R1,S1D1,HYDRO,WATER,2030,49384.398
R1,S1D1,HYDRO,WATER,2031,42629.528
R1,S1D1,HYDRO,WATER,2032,51104.623
R1,S1D1,HYDRO,WATER,2033,51964.848
R1,S1D1,HYDRO,WATER,2034,52824.849
R1,S1D1,HYDRO,WATER,2035,53685.074
R1,S1D1,HYDRO,WATER,2036,46278.392
R1,S1D1,HYDRO,WATER,2037,55405.299
R1,S1D1,HYDRO,WATER,2038,56265.524
R1,S1D1,HYDRO,WATER,2039,57125.524
R1,S1D1,HYDRO,WATER,2040,49197.407
R1,S1D1,HYDRO,WATER,2041,58845.975
R1,S1D1,HYDRO,WATER,2042,50656.914
R1,S1D1,HYDRO,WATER,2043,60566.2
R1,S1D1,HYDRO,WATER,2044,61426.2
R1,S1D1,HYDRO,WATER,2045,52846.27
R1,S1D1,HYDRO,WATER,2046,63146.65
R1,S1D1,HYDRO,WATER,2047,64006.651
R1,S1D1,HYDRO,WATER,2048,64866.876
R1,S1D1,HYDRO,WATER,2049,55765.285
R1,S1D1,HYDRO,WATER,2050,66587.101
R1,S1D1,HYDRO,WATER,2051,67447.326
R1,S1D1,HYDRO,WATER,2052,68307.326
R1,S1D1,HYDRO,WATER,2053,69167.552
R1,S1D1,HYDRO,WATER,2054,70027.552
R1,S1D1,HYDRO,WATER,2055,70887.777
R1,S1D1,HYDRO,WATER,2056,60873.847
R1,S1D1,HYDRO,WATER,2057,61603.505
R1,S1D1,HYDRO,WATER,2058,73468.227
R1,S1D1,HYDRO,WATER,2059,74328.227
R1,S1D1,HYDRO,WATER,2060,75188.453
R1,S1D1,HYDRO,WATER,2061,76048.678
R1,S1D1,HYDRO,WATER,2062,76908.678
R1,S1D1,HYDRO,WATER,2063,77768.903
R1,S1D1,HYDRO,WATER,2064,78628.903
R1,S1D1,HYDRO,WATER,2065,79489.128
R1,S1D1,HYDRO,WATER,2066,80349.354
R1,S1D1,HYDRO,WATER,2067,81209.354
R1,S1D1,HYDRO,WATER,2068,82069.579
R1,S1D1,HYDRO,WATER,2069,82929.579
R1,S1D1,HYDRO,WATER,2070,83789.804
R1,S1D1,TRANSMISSION,ELC_01,2020,17300.976
R1,S1D1,TRANSMISSION,ELC_01,2021,17665.901
R1,S1D1,TRANSMISSION,ELC_01,2022,18030.73
R1,S1D1,TRANSMISSION,ELC_01,2023,18395.654
R1,S1D1,TRANSMISSION,ELC_01,2024,18760.483
R1,S1D1,TRANSMISSION,ELC_01,2025,19125.408
R1,S1D1,TRANSMISSION,ELC_01,2026,19490.332
R1,S1D1,TRANSMISSION,ELC_01,2027,19855.161
R1,S1D1,TRANSMISSION,ELC_01,2028,20220.086
R1,S1D1,TRANSMISSION,ELC_01,2029,20584.915
R1,S1D1,TRANSMISSION,ELC_01,2030,20949.84
R1,S1D1,TRANSMISSION,ELC_01,2031,21314.764
R1,S1D1,TRANSMISSION,ELC_01,2032,21679.593
R1,S1D1,TRANSMISSION,ELC_01,2033,22044.518
R1,S1D1,TRANSMISSION,ELC_01,2034,22409.347
R1,S1D1,TRANSMISSION,ELC_01,2035,22774.272
R1,S1D1,TRANSMISSION,ELC_01,2036,23139.196
R1,S1D1,TRANSMISSION,ELC_01,2037,23504.025
R1,S1D1,TRANSMISSION,ELC_01,2038,23868.95
R1,S1D1,TRANSMISSION,ELC_01,2039,24233.779
R1,S1D1,TRANSMISSION,ELC_01,2040,24598.703
R1,S1D1,TRANSMISSION,ELC_01,2041,24963.628
R1,S1D1,TRANSMISSION,ELC_01,2042,25328.457
R1,S1D1,TRANSMISSION,ELC_01,2043,25693.382
R1,S1D1,TRANSMISSION,ELC_01,2044,26058.211
R1,S1D1,TRANSMISSION,ELC_01,2045,26423.135
R1,S1D1,TRANSMISSION,ELC_01,2046,26788.06
R1,S1D1,TRANSMISSION,ELC_01,2047,27152.889
R1,S1D1,TRANSMISSION,ELC_01,2048,27517.813
R1,S1D1,TRANSMISSION,ELC_01,2049,27882.642
R1,S1D1,TRANSMISSION,ELC_01,2050,28247.567
R1,S1D1,TRANSMISSION,ELC_01,2051,28612.492
R1,S1D1,TRANSMISSION,ELC_01,2052,28977.321
R1,S1D1,TRANSMISSION,ELC_01,2053,29342.245
R1,S1D1,TRANSMISSION,ELC_01,2054,29707.074
R1,S1D1,TRANSMISSION,ELC_01,2055,30071.999
R1,S1D1,TRANSMISSION,ELC_01,2056,30436.923
R1,S1D1,TRANSMISSION,ELC_01,2057,30801.753
R1,S1D1,TRANSMISSION,ELC_01,2058,31166.677
R1,S1D1,TRANSMISSION,ELC_01,2059,31531.506
R1,S1D1,TRANSMISSION,ELC_01,2060,31896.431
R1,S1D1,TRANSMISSION,ELC_01,2061,32261.355
R1,S1D1,TRANSMISSION,ELC_01,2062,32626.184
R1,S1D1,TRANSMISSION,ELC_01,2063,32991.109
R1,S1D1,TRANSMISSION,ELC_01,2064,33355.938
R1,S1D1,TRANSMISSION,ELC_01,2065,33720.863
R1,S1D1,TRANSMISSION,ELC_01,2066,34085.787
R1,S1D1,TRANSMISSION,ELC_01,2067,34450.616
R1,S1D1,TRANSMISSION,ELC_01,2068,34815.541
R1,S1D1,TRANSMISSION,ELC_01,2069,35180.37
R1,S1D1,TRANSMISSION,ELC_01,2070,35545.294
R1,S1D2,HYDRO,WATER,2020,33514.752
R1,S1D2,HYDRO,WATER,2021,34221.669
R1,S1D2,HYDRO,WATER,2022,34928.401
R1,S1D2,HYDRO,WATER,2023,35635.318
R1,S1D2,HYDRO,WATER,2024,36342.051
R1,S1D2,HYDRO,WATER,2025,37048.968
R1,S1D2,HYDRO,WATER,2026,37755.885
R1,S1D2,HYDRO,WATER,2027,38462.617
R1,S1D2,HYDRO,WATER,2028,39169.534
R1,S1D2,HYDRO,WATER,2029,39876.266
R1,S1D2,HYDRO,WATER,2030,40583.183
R1,S1D2,HYDRO,WATER,2031,41290.1
R1,S1D2,HYDRO,WATER,2032,41996.833
R1,S1D2,HYDRO,WATER,2033,42703.75
R1,S1D2,HYDRO,WATER,2034,43410.482
R1,S1D2,HYDRO,WATER,2035,44117.399
R1,S1D2,HYDRO,WATER,2036,44824.316
R1,S1D2,HYDRO,WATER,2037,45531.048
R1,S1D2,HYDRO,WATER,2038,46237.965
R1,S1D2,HYDRO,WATER,2039,46944.698
R1,S1D2,HYDRO,WATER,2040,47651.615
R1,S1D2,HYDRO,WATER,2041,48358.532
R1,S1D2,HYDRO,WATER,2042,49065.264
R1,S1D2,HYDRO,WATER,2043,49772.181
R1,S1D2,HYDRO,WATER,2044,50478.913
R1,S1D2,HYDRO,WATER,2045,51185.83
R1,S1D2,HYDRO,WATER,2046,51892.748
R1,S1D2,HYDRO,WATER,2047,52599.48
R1,S1D2,HYDRO,WATER,2048,53306.397
R1,S1D2,HYDRO,WATER,2049,54013.129
R1,S1D2,HYDRO,WATER,2050,54720.046
R1,S1D2,HYDRO,WATER,2051,55426.963
