REGION,TECHNOLOGY,YEAR,VALUE
PHLLU,PWRCOAPHLLU,2020,1600
PHLLU,PWRCOAPHLLU,2021,1600
PHLLU,PWRCOAPHLLU,2022,1600
PHLLU,PWRCOAPHLLU,2023,1600
PHLLU,PWRCOAPHLLU,2024,1600
PHLLU,PWRCOAPHLLU,2025,1600
PHLLU,PWRCOAPHLLU,2026,1600
PHLLU,PWRCOAPHLLU,2027,1600
PHLLU,PWRCOAPHLLU,2028,1600
PHLLU,PWRCOAPHLLU,2029,1600
PHLLU,PWRCOAPHLLU,2030,1550
PHLLU,PWRCOAPHLLU,2031,1550
PHLLU,PWRCOAPHLLU,2032,1550
PHLLU,PWRCOAPHLLU,2033,1550
PHLLU,PWRCOAPHLLU,2034,1550
PHLLU,PWRCOAPHLLU,2035,1550
PHLLU,PWRCOAPHLLU,2036,1550
PHLLU,PWRCOAPHLLU,2037,1550
PHLLU,PWRCOAPHLLU,2038,1550
PHLLU,PWRCOAPHLLU,2039,1550
PHLLU,PWRCOAPHLLU,2040,1550
PHLLU,PWRCOAPHLLU,2041,1550
PHLLU,PWRCOAPHLLU,2042,1550
PHLLU,PWRCOAPHLLU,2043,1550
PHLLU,PWRCOAPHLLU,2044,1550
PHLLU,PWRCOAPHLLU,2045,1550
PHLLU,PWRCOAPHLLU,2046,1550
PHLLU,PWRCOAPHLLU,2047,1550
PHLLU,PWRCOAPHLLU,2048,1550
PHLLU,PWRCOAPHLLU,2049,1550
PHLLU,PWRCOAPHLLU,2050,1500
PHLLU,PWRBIOPHLLU,2020,2280
PHLLU,PWRBIOPHLLU,2021,2280
PHLLU,PWRBIOPHLLU,2022,2280
PHLLU,PWRBIOPHLLU,2023,2280
PHLLU,PWRBIOPHLLU,2024,2280
PHLLU,PWRBIOPHLLU,2025,2280
PHLLU,PWRBIOPHLLU,2026,2280
PHLLU,PWRBIOPHLLU,2027,2280
PHLLU,PWRBIOPHLLU,2028,2280
PHLLU,PWRBIOPHLLU,2029,2280
PHLLU,PWRBIOPHLLU,2030,2070
PHLLU,PWRBIOPHLLU,2031,2070
PHLLU,PWRBIOPHLLU,2032,2070
PHLLU,PWRBIOPHLLU,2033,2070
PHLLU,PWRBIOPHLLU,2034,2070
PHLLU,PWRBIOPHLLU,2035,2070
PHLLU,PWRBIOPHLLU,2036,2070
PHLLU,PWRBIOPHLLU,2037,2070
PHLLU,PWRBIOPHLLU,2038,2070
PHLLU,PWRBIOPHLLU,2039,2070
PHLLU,PWRBIOPHLLU,2040,2070
PHLLU,PWRBIOPHLLU,2041,2070
PHLLU,PWRBIOPHLLU,2042,2070
PHLLU,PWRBIOPHLLU,2043,2070
PHLLU,PWRBIOPHLLU,2044,2070
PHLLU,PWRBIOPHLLU,2045,2070
PHLLU,PWRBIOPHLLU,2046,2070
PHLLU,PWRBIOPHLLU,2047,2070
PHLLU,PWRBIOPHLLU,2048,2070
PHLLU,PWRBIOPHLLU,2049,2070
PHLLU,PWRBIOPHLLU,2050,1820
PHLLU,PWRGASPHLLU,2020,1090
PHLLU,PWRGASPHLLU,2021,1090
PHLLU,PWRGASPHLLU,2022,1090
PHLLU,PWRGASPHLLU,2023,1090
PHLLU,PWRGASPHLLU,2024,1090
PHLLU,PWRGASPHLLU,2025,1090
PHLLU,PWRGASPHLLU,2026,1090
PHLLU,PWRGASPHLLU,2027,1090
PHLLU,PWRGASPHLLU,2028,1090
PHLLU,PWRGASPHLLU,2029,1090
PHLLU,PWRGASPHLLU,2030,1040
PHLLU,PWRGASPHLLU,2031,1040
PHLLU,PWRGASPHLLU,2032,1040
PHLLU,PWRGASPHLLU,2033,1040
PHLLU,PWRGASPHLLU,2034,1040
PHLLU,PWRGASPHLLU,2035,1040
PHLLU,PWRGASPHLLU,2036,1040
PHLLU,PWRGASPHLLU,2037,1040
PHLLU,PWRGASPHLLU,2038,1040
PHLLU,PWRGASPHLLU,2039,1040
PHLLU,PWRGASPHLLU,2040,1040
PHLLU,PWRGASPHLLU,2041,1040
PHLLU,PWRGASPHLLU,2042,1040
PHLLU,PWRGASPHLLU,2043,1040
PHLLU,PWRGASPHLLU,2044,1040
PHLLU,PWRGASPHLLU,2045,1040
PHLLU,PWRGASPHLLU,2046,1040
PHLLU,PWRGASPHLLU,2047,1040
PHLLU,PWRGASPHLLU,2048,1040
PHLLU,PWRGASPHLLU,2049,1040
PHLLU,PWRGASPHLLU,2050,960
PHLLU,PWRHYDPHLLU,2020,2200
PHLLU,PWRHYDPHLLU,2021,2200
PHLLU,PWRHYDPHLLU,2022,2200
PHLLU,PWRHYDPHLLU,2023,2200
PHLLU,PWRHYDPHLLU,2024,2200
PHLLU,PWRHYDPHLLU,2025,2200
PHLLU,PWRHYDPHLLU,2026,2200
PHLLU,PWRHYDPHLLU,2027,2200
PHLLU,PWRHYDPHLLU,2028,2200
PHLLU,PWRHYDPHLLU,2029,2200
PHLLU,PWRHYDPHLLU,2030,2110
PHLLU,PWRHYDPHLLU,2031,2110
PHLLU,PWRHYDPHLLU,2032,2110
PHLLU,PWRHYDPHLLU,2033,2110
PHLLU,PWRHYDPHLLU,2034,2110
PHLLU,PWRHYDPHLLU,2035,2110
PHLLU,PWRHYDPHLLU,2036,2110
PHLLU,PWRHYDPHLLU,2037,2110
PHLLU,PWRHYDPHLLU,2038,2110
PHLLU,PWRHYDPHLLU,2039,2110
PHLLU,PWRHYDPHLLU,2040,2110
PHLLU,PWRHYDPHLLU,2041,2110
PHLLU,PWRHYDPHLLU,2042,2110
