REGION,EMISSION,YEAR,VALUE
PHLLU,CO2,2020,10
PHLLU,CO2,2021,10
PHLLU,CO2,2022,10
PHLLU,CO2,2023,10
PHLLU,CO2,2024,10
PHLLU,CO2,2025,10
PHLLU,CO2,2026,10
PHLLU,CO2,2027,10
PHLLU,CO2,2028,10
PHLLU,CO2,2029,10
PHLLU,CO2,2030,10
PHLLU,CO2,2031,10
PHLLU,CO2,2032,10
PHLLU,CO2,2033,10
PHLLU,CO2,2034,10
PHLLU,CO2,2035,10
PHLLU,CO2,2036,10
PHLLU,CO2,2037,10
PHLLU,CO2,2038,10
PHLLU,CO2,2039,10
PHLLU,CO2,2040,10
PHLLU,CO2,2041,10
PHLLU,CO2,2042,10
PHLLU,CO2,2043,10
PHLLU,CO2,2044,10
PHLLU,CO2,2045,10
PHLLU,CO2,2046,10
PHLLU,CO2,2047,10
PHLLU,CO2,2048,10
PHLLU,CO2,2049,10
PHLLU,CO2,2050,10
