REGION,TECHNOLOGY,YEAR,VALUE
PHLLU,PWRCOAPHLLU,2020,47
PHLLU,PWRCOAPHLLU,2021,47
PHLLU,PWRCOAPHLLU,2022,47
PHLLU,PWRCOAPHLLU,2023,47
PHLLU,PWRCOAPHLLU,2024,47
PHLLU,PWRCOAPHLLU,2025,47
PHLLU,PWRCOAPHLLU,2026,47
PHLLU,PWRCOAPHLLU,2027,47
PHLLU,PWRCOAPHLLU,2028,47
PHLLU,PWRCOAPHLLU,2029,47
PHLLU,PWRCOAPHLLU,2030,47
PHLLU,PWRCOAPHLLU,2031,47
PHLLU,PWRCOAPHLLU,2032,47
PHLLU,PWRCOAPHLLU,2033,47
PHLLU,PWRCOAPHLLU,2034,47
PHLLU,PWRCOAPHLLU,2035,47
PHLLU,PWRCOAPHLLU,2036,47
PHLLU,PWRCOAPHLLU,2037,47
PHLLU,PWRCOAPHLLU,2038,47
PHLLU,PWRCOAPHLLU,2039,47
PHLLU,PWRCOAPHLLU,2040,47
PHLLU,PWRCOAPHLLU,2041,47
PHLLU,PWRCOAPHLLU,2042,47
PHLLU,PWRCOAPHLLU,2043,47
PHLLU,PWRCOAPHLLU,2044,47
PHLLU,PWRCOAPHLLU,2045,47
PHLLU,PWRCOAPHLLU,2046,47
PHLLU,PWRCOAPHLLU,2047,47
PHLLU,PWRCOAPHLLU,2048,47
PHLLU,PWRCOAPHLLU,2049,47
PHLLU,PWRCOAPHLLU,2050,47
PHLLU,PWRBIOPHLLU,2020,54
PHLLU,PWRBIOPHLLU,2021,54
PHLLU,PWRBIOPHLLU,2022,54
PHLLU,PWRBIOPHLLU,2023,54
PHLLU,PWRBIOPHLLU,2024,54
PHLLU,PWRBIOPHLLU,2025,54
PHLLU,PWRBIOPHLLU,2026,54
PHLLU,PWRBIOPHLLU,2027,54
PHLLU,PWRBIOPHLLU,2028,54
PHLLU,PWRBIOPHLLU,2029,54
PHLLU,PWRBIOPHLLU,2030,54
PHLLU,PWRBIOPHLLU,2031,54
PHLLU,PWRBIOPHLLU,2032,54
PHLLU,PWRBIOPHLLU,2033,54
PHLLU,PWRBIOPHLLU,2034,54
PHLLU,PWRBIOPHLLU,2035,54
PHLLU,PWRBIOPHLLU,2036,54
PHLLU,PWRBIOPHLLU,2037,54
PHLLU,PWRBIOPHLLU,2038,54
PHLLU,PWRBIOPHLLU,2039,54
PHLLU,PWRBIOPHLLU,2040,54
PHLLU,PWRBIOPHLLU,2041,54
PHLLU,PWRBIOPHLLU,2042,54
PHLLU,PWRBIOPHLLU,2043,54
PHLLU,PWRBIOPHLLU,2044,54
PHLLU,PWRBIOPHLLU,2045,54
PHLLU,PWRBIOPHLLU,2046,54
PHLLU,PWRBIOPHLLU,2047,54
PHLLU,PWRBIOPHLLU,2048,54
PHLLU,PWRBIOPHLLU,2049,54
PHLLU,PWRBIOPHLLU,2050,54
PHLLU,PWRGASPHLLU,2020,26.8
PHLLU,PWRGASPHLLU,2021,26.8
PHLLU,PWRGASPHLLU,2022,26.8
PHLLU,PWRGASPHLLU,2023,26.8
PHLLU,PWRGASPHLLU,2024,26.8
PHLLU,PWRGASPHLLU,2025,26.8
PHLLU,PWRGASPHLLU,2026,26.8
PHLLU,PWRGASPHLLU,2027,26.8
PHLLU,PWRGASPHLLU,2028,26.8
PHLLU,PWRGASPHLLU,2029,26.8
PHLLU,PWRGASPHLLU,2030,26.8
PHLLU,PWRGASPHLLU,2031,26.8
PHLLU,PWRGASPHLLU,2032,26.8
PHLLU,PWRGASPHLLU,2033,26.8
PHLLU,PWRGASPHLLU,2034,26.8
PHLLU,PWRGASPHLLU,2035,26.8
PHLLU,PWRGASPHLLU,2036,26.8
PHLLU,PWRGASPHLLU,2037,26.8
PHLLU,PWRGASPHLLU,2038,26.8
PHLLU,PWRGASPHLLU,2039,26.8
PHLLU,PWRGASPHLLU,2040,26.8
PHLLU,PWRGASPHLLU,2041,26.8
PHLLU,PWRGASPHLLU,2042,26.8
PHLLU,PWRGASPHLLU,2043,26.8
PHLLU,PWRGASPHLLU,2044,26.8
PHLLU,PWRGASPHLLU,2045,26.8
PHLLU,PWRGASPHLLU,2046,26.8
PHLLU,PWRGASPHLLU,2047,26.8
PHLLU,PWRGASPHLLU,2048,26.8
PHLLU,PWRGASPHLLU,2049,26.8
PHLLU,PWRGASPHLLU,2050,26.8
PHLLU,PWRHYDPHLLU,2020,43
PHLLU,PWRHYDPHLLU,2021,43
PHLLU,PWRHYDPHLLU,2022,43
PHLLU,PWRHYDPHLLU,2023,43
PHLLU,PWRHYDPHLLU,2024,43
PHLLU,PWRHYDPHLLU,2025,43
PHLLU,PWRHYDPHLLU,2026,43
PHLLU,PWRHYDPHLLU,2027,43
PHLLU,PWRHYDPHLLU,2028,43
PHLLU,PWRHYDPHLLU,2029,43
PHLLU,PWRHYDPHLLU,2030,43
PHLLU,PWRHYDPHLLU,2031,43
PHLLU,PWRHYDPHLLU,2032,43
PHLLU,PWRHYDPHLLU,2033,43
PHLLU,PWRHYDPHLLU,2034,43
PHLLU,PWRHYDPHLLU,2035,43
PHLLU,PWRHYDPHLLU,2036,43
PHLLU,PWRHYDPHLLU,2037,43
PHLLU,PWRHYDPHLLU,2038,43
PHLLU,PWRHYDPHLLU,2039,43
PHLLU,PWRHYDPHLLU,2040,43
PHLLU,PWRHYDPHLLU,2041,43
PHLLU,PWRHYDPHLLU,2042,43
PHLLU,PWRHYDPHLLU,2043,43
PHLLU,PWRHYDPHLLU,2044,43
PHLLU,PWRHYDPHLLU,2045,43
PHLLU,PWRHYDPHLLU,2046,43
PHLLU,PWRHYDPHLLU,2047,43
PHLLU,PWRHYDPHLLU,2048,43
PHLLU,PWRHYDPHLLU,2049,43
PHLLU,PWRHYDPHLLU,2050,43
PHLLU,PWROILPHLLU,2020,9.12
PHLLU,PWROILPHLLU,2021,9.12
PHLLU,PWROILPHLLU,2022,9.12
PHLLU,PWROILPHLLU,2023,9.12
PHLLU,PWROILPHLLU,2024,9.12
PHLLU,PWROILPHLLU,2025,9.12
PHLLU,PWROILPHLLU,2026,9.12
PHLLU,PWROILPHLLU,2027,9.12
PHLLU,PWROILPHLLU,2028,9.12
PHLLU,PWROILPHLLU,2029,9.12
PHLLU,PWROILPHLLU,2030,9.12
PHLLU,PWROILPHLLU,2031,9.12
PHLLU,PWROILPHLLU,2032,9.12
PHLLU,PWROILPHLLU,2033,9.12
PHLLU,PWROILPHLLU,2034,9.12
PHLLU,PWROILPHLLU,2035,9.12
PHLLU,PWROILPHLLU,2036,9.12
PHLLU,PWROILPHLLU,2037,9.12
PHLLU,PWROILPHLLU,2038,9.12
PHLLU,PWROILPHLLU,2039,9.12
PHLLU,PWROILPHLLU,2040,9.12
PHLLU,PWROILPHLLU,2041,9.12
PHLLU,PWROILPHLLU,2042,9.12
PHLLU,PWROILPHLLU,2043,9.12
PHLLU,PWROILPHLLU,2044,9.12
PHLLU,PWROILPHLLU,2045,9.12
PHLLU,PWROILPHLLU,2046,9.12
PHLLU,PWROILPHLLU,2047,9.12
PHLLU,PWROILPHLLU,2048,9.12
PHLLU,PWROILPHLLU,2049,9.12
PHLLU,PWROILPHLLU,2050,9.12
PHLLU,PWRSPVPHLLU,2020,7.5
PHLLU,PWRSPVPHLLU,2021,7.5
PHLLU,PWRSPVPHLLU,2022,7.5
PHLLU,PWRSPVPHLLU,2023,7.5
PHLLU,PWRSPVPHLLU,2024,7.5
PHLLU,PWRSPVPHLLU,2025,7.5
PHLLU,PWRSPVPHLLU,2026,7.5
PHLLU,PWRSPVPHLLU,2027,7.5
PHLLU,PWRSPVPHLLU,2028,7.5
PHLLU,PWRSPVPHLLU,2029,7.5
PHLLU,PWRSPVPHLLU,2030,7.5
PHLLU,PWRSPVPHLLU,2031,7.5
PHLLU,PWRSPVPHLLU,2032,7.5
PHLLU,PWRSPVPHLLU,2033,7.5
PHLLU,PWRSPVPHLLU,2034,7.5
PHLLU,PWRSPVPHLLU,2035,7.5
PHLLU,PWRSPVPHLLU,2036,7.5
PHLLU,PWRSPVPHLLU,2037,7.5
PHLLU,PWRSPVPHLLU,2038,7.5
PHLLU,PWRSPVPHLLU,2039,7.5
PHLLU,PWRSPVPHLLU,2040,7.5
PHLLU,PWRSPVPHLLU,2041,7.5
PHLLU,PWRSPVPHLLU,2042,7.5
PHLLU,PWRSPVPHLLU,2043,7.5
PHLLU,PWRSPVPHLLU,2044,7.5
PHLLU,PWRSPVPHLLU,2045,7.5
PHLLU,PWRSPVPHLLU,2046,7.5
PHLLU,PWRSPVPHLLU,2047,7.5
PHLLU,PWRSPVPHLLU,2048,7.5
PHLLU,PWRSPVPHLLU,2049,7.5
PHLLU,PWRSPVPHLLU,2050,7.5
