REGION,FUEL,YEAR,VALUE
PHLLU,BIOPHLLU,2020,1
PHLLU,BIOPHLLU,2021,1
PHLLU,BIOPHLLU,2022,1
PHLLU,BIOPHLLU,2023,1
PHLLU,BIOPHLLU,2024,1
PHLLU,BIOPHLLU,2025,1
PHLLU,BIOPHLLU,2026,1
PHLLU,BIOPHLLU,2027,1
PHLLU,BIOPHLLU,2028,1
PHLLU,BIOPHLLU,2029,1
PHLLU,BIOPHLLU,2030,1
PHLLU,BIOPHLLU,2031,1
PHLLU,BIOPHLLU,2032,1
PHLLU,BIOPHLLU,2033,1
PHLLU,BIOPHLLU,2034,1
PHLLU,BIOPHLLU,2035,1
PHLLU,BIOPHLLU,2036,1
PHLLU,BIOPHLLU,2037,1
PHLLU,BIOPHLLU,2038,1
PHLLU,BIOPHLLU,2039,1
PHLLU,BIOPHLLU,2040,1
PHLLU,BIOPHLLU,2041,1
PHLLU,BIOPHLLU,2042,1
PHLLU,BIOPHLLU,2043,1
PHLLU,BIOPHLLU,2044,1
PHLLU,BIOPHLLU,2045,1
PHLLU,BIOPHLLU,2046,1
PHLLU,BIOPHLLU,2047,1
PHLLU,BIOPHLLU,2048,1
PHLLU,BIOPHLLU,2049,1
PHLLU,BIOPHLLU,2050,1
PHLLU,HYDPHLLU,2020,1
PHLLU,HYDPHLLU,2021,1
PHLLU,HYDPHLLU,2022,1
PHLLU,HYDPHLLU,2023,1
PHLLU,HYDPHLLU,2024,1
PHLLU,HYDPHLLU,2025,1
PHLLU,HYDPHLLU,2026,1
PHLLU,HYDPHLLU,2027,1
PHLLU,HYDPHLLU,2028,1
PHLLU,HYDPHLLU,2029,1
PHLLU,HYDPHLLU,2030,1
PHLLU,HYDPHLLU,2031,1
PHLLU,HYDPHLLU,2032,1
PHLLU,HYDPHLLU,2033,1
PHLLU,HYDPHLLU,2034,1
PHLLU,HYDPHLLU,2035,1
PHLLU,HYDPHLLU,2036,1
PHLLU,HYDPHLLU,2037,1
PHLLU,HYDPHLLU,2038,1
PHLLU,HYDPHLLU,2039,1
PHLLU,HYDPHLLU,2040,1
PHLLU,HYDPHLLU,2041,1
PHLLU,HYDPHLLU,2042,1
PHLLU,HYDPHLLU,2043,1
PHLLU,HYDPHLLU,2044,1
PHLLU,HYDPHLLU,2045,1
PHLLU,HYDPHLLU,2046,1
PHLLU,HYDPHLLU,2047,1
PHLLU,HYDPHLLU,2048,1
PHLLU,HYDPHLLU,2049,1
PHLLU,HYDPHLLU,2050,1
PHLLU,SPVPHLLU,2020,1
PHLLU,SPVPHLLU,2021,1
PHLLU,SPVPHLLU,2022,1
PHLLU,SPVPHLLU,2023,1
PHLLU,SPVPHLLU,2024,1
PHLLU,SPVPHLLU,2025,1
PHLLU,SPVPHLLU,2026,1
PHLLU,SPVPHLLU,2027,1
PHLLU,SPVPHLLU,2028,1
PHLLU,SPVPHLLU,2029,1
PHLLU,SPVPHLLU,2030,1
PHLLU,SPVPHLLU,2031,1
PHLLU,SPVPHLLU,2032,1
PHLLU,SPVPHLLU,2033,1
PHLLU,SPVPHLLU,2034,1
PHLLU,SPVPHLLU,2035,1
PHLLU,SPVPHLLU,2036,1
PHLLU,SPVPHLLU,2037,1
PHLLU,SPVPHLLU,2038,1
PHLLU,SPVPHLLU,2039,1
PHLLU,SPVPHLLU,2040,1
PHLLU,SPVPHLLU,2041,1
PHLLU,SPVPHLLU,2042,1
PHLLU,SPVPHLLU,2043,1
PHLLU,SPVPHLLU,2044,1
PHLLU,SPVPHLLU,2045,1
PHLLU,SPVPHLLU,2046,1
PHLLU,SPVPHLLU,2047,1
PHLLU,SPVPHLLU,2048,1
PHLLU,SPVPHLLU,2049,1
PHLLU,SPVPHLLU,2050,1
