REGION,TECHNOLOGY,YEAR,VALUE
PHLLU,RNWBIOPHLLU,2020,1
PHLLU,RNWBIOPHLLU,2021,1
PHLLU,RNWBIOPHLLU,2022,1
PHLLU,RNWBIOPHLLU,2023,1
PHLLU,RNWBIOPHLLU,2024,1
PHLLU,RNWBIOPHLLU,2025,1
PHLLU,RNWBIOPHLLU,2026,1
PHLLU,RNWBIOPHLLU,2027,1
PHLLU,RNWBIOPHLLU,2028,1
PHLLU,RNWBIOPHLLU,2029,1
PHLLU,RNWBIOPHLLU,2030,1
PHLLU,RNWBIOPHLLU,2031,1
PHLLU,RNWBIOPHLLU,2032,1
PHLLU,RNWBIOPHLLU,2033,1
PHLLU,RNWBIOPHLLU,2034,1
PHLLU,RNWBIOPHLLU,2035,1
PHLLU,RNWBIOPHLLU,2036,1
PHLLU,RNWBIOPHLLU,2037,1
PHLLU,RNWBIOPHLLU,2038,1
PHLLU,RNWBIOPHLLU,2039,1
PHLLU,RNWBIOPHLLU,2040,1
PHLLU,RNWBIOPHLLU,2041,1
PHLLU,RNWBIOPHLLU,2042,1
PHLLU,RNWBIOPHLLU,2043,1
PHLLU,RNWBIOPHLLU,2044,1
PHLLU,RNWBIOPHLLU,2045,1
PHLLU,RNWBIOPHLLU,2046,1
PHLLU,RNWBIOPHLLU,2047,1
PHLLU,RNWBIOPHLLU,2048,1
PHLLU,RNWBIOPHLLU,2049,1
PHLLU,RNWBIOPHLLU,2050,1
PHLLU,RNWHYDPHLLU,2020,1
PHLLU,RNWHYDPHLLU,2021,1
PHLLU,RNWHYDPHLLU,2022,1
PHLLU,RNWHYDPHLLU,2023,1
PHLLU,RNWHYDPHLLU,2024,1
PHLLU,RNWHYDPHLLU,2025,1
PHLLU,RNWHYDPHLLU,2026,1
PHLLU,RNWHYDPHLLU,2027,1
PHLLU,RNWHYDPHLLU,2028,1
PHLLU,RNWHYDPHLLU,2029,1
PHLLU,RNWHYDPHLLU,2030,1
PHLLU,RNWHYDPHLLU,2031,1
PHLLU,RNWHYDPHLLU,2032,1
PHLLU,RNWHYDPHLLU,2033,1
PHLLU,RNWHYDPHLLU,2034,1
PHLLU,RNWHYDPHLLU,2035,1
PHLLU,RNWHYDPHLLU,2036,1
PHLLU,RNWHYDPHLLU,2037,1
PHLLU,RNWHYDPHLLU,2038,1
PHLLU,RNWHYDPHLLU,2039,1
PHLLU,RNWHYDPHLLU,2040,1
PHLLU,RNWHYDPHLLU,2041,1
PHLLU,RNWHYDPHLLU,2042,1
PHLLU,RNWHYDPHLLU,2043,1
PHLLU,RNWHYDPHLLU,2044,1
PHLLU,RNWHYDPHLLU,2045,1
PHLLU,RNWHYDPHLLU,2046,1
PHLLU,RNWHYDPHLLU,2047,1
PHLLU,RNWHYDPHLLU,2048,1
PHLLU,RNWHYDPHLLU,2049,1
PHLLU,RNWHYDPHLLU,2050,1
PHLLU,RNWSPVPHLLU,2020,1
PHLLU,RNWSPVPHLLU,2021,1
PHLLU,RNWSPVPHLLU,2022,1
PHLLU,RNWSPVPHLLU,2023,1
PHLLU,RNWSPVPHLLU,2024,1
PHLLU,RNWSPVPHLLU,2025,1
PHLLU,RNWSPVPHLLU,2026,1
PHLLU,RNWSPVPHLLU,2027,1
PHLLU,RNWSPVPHLLU,2028,1
PHLLU,RNWSPVPHLLU,2029,1
PHLLU,RNWSPVPHLLU,2030,1
PHLLU,RNWSPVPHLLU,2031,1
PHLLU,RNWSPVPHLLU,2032,1
PHLLU,RNWSPVPHLLU,2033,1
PHLLU,RNWSPVPHLLU,2034,1
PHLLU,RNWSPVPHLLU,2035,1
PHLLU,RNWSPVPHLLU,2036,1
PHLLU,RNWSPVPHLLU,2037,1
PHLLU,RNWSPVPHLLU,2038,1
PHLLU,RNWSPVPHLLU,2039,1
PHLLU,RNWSPVPHLLU,2040,1
PHLLU,RNWSPVPHLLU,2041,1
PHLLU,RNWSPVPHLLU,2042,1
PHLLU,RNWSPVPHLLU,2043,1
PHLLU,RNWSPVPHLLU,2044,1
PHLLU,RNWSPVPHLLU,2045,1
PHLLU,RNWSPVPHLLU,2046,1
PHLLU,RNWSPVPHLLU,2047,1
PHLLU,RNWSPVPHLLU,2048,1
PHLLU,RNWSPVPHLLU,2049,1
PHLLU,RNWSPVPHLLU,2050,1
