REGION,YEAR,VALUE
PHLLU,2020,1.2
PHLLU,2021,1.2
PHLLU,2022,1.2
PHLLU,2023,1.2
PHLLU,2024,1.2
PHLLU,2025,1.2
PHLLU,2026,1.2
PHLLU,2027,1.2
PHLLU,2028,1.2
PHLLU,2029,1.2
PHLLU,2030,1.2
PHLLU,2031,1.2
PHLLU,2032,1.2
PHLLU,2033,1.2
PHLLU,2034,1.2
PHLLU,2035,1.2
PHLLU,2036,1.2
PHLLU,2037,1.2
PHLLU,2038,1.2
PHLLU,2039,1.2
PHLLU,2040,1.2
PHLLU,2041,1.2
PHLLU,2042,1.2
PHLLU,2043,1.2
PHLLU,2044,1.2
PHLLU,2045,1.2
PHLLU,2046,1.2
PHLLU,2047,1.2
PHLLU,2048,1.2
PHLLU,2049,1.2
PHLLU,2050,1.2
