REGION,TECHNOLOGY,YEAR,VALUE
PHLLU,PWRCOAPHLLU,2020,9.6156
PHLLU,PWRCOAPHLLU,2021,9.6156
PHLLU,PWRCOAPHLLU,2022,9.6156
PHLLU,PWRCOAPHLLU,2023,9.6156
PHLLU,PWRCOAPHLLU,2024,9.6156
PHLLU,PWRCOAPHLLU,2025,9.6156
PHLLU,PWRCOAPHLLU,2026,9.6156
PHLLU,PWRCOAPHLLU,2027,9.6156
PHLLU,PWRCOAPHLLU,2028,9.6156
PHLLU,PWRCOAPHLLU,2029,9.6156
PHLLU,PWRCOAPHLLU,2030,9.6156
PHLLU,PWRCOAPHLLU,2031,9.6156
PHLLU,PWRCOAPHLLU,2032,9.6156
PHLLU,PWRCOAPHLLU,2033,9.6156
PHLLU,PWRCOAPHLLU,2034,9.6156
PHLLU,PWRCOAPHLLU,2035,9.6156
PHLLU,PWRCOAPHLLU,2036,9.6156
PHLLU,PWRCOAPHLLU,2037,9.6156
PHLLU,PWRCOAPHLLU,2038,9.6156
PHLLU,PWRCOAPHLLU,2039,9.6156
PHLLU,PWRCOAPHLLU,2040,9.6156
PHLLU,PWRCOAPHLLU,2041,9.6156
PHLLU,PWRCOAPHLLU,2042,9.6156
PHLLU,PWRCOAPHLLU,2043,9.6156
PHLLU,PWRCOAPHLLU,2044,9.6156
PHLLU,PWRCOAPHLLU,2045,9.6156
PHLLU,PWRCOAPHLLU,2046,9.6156
PHLLU,PWRCOAPHLLU,2047,9.6156
PHLLU,PWRCOAPHLLU,2048,9.6156
PHLLU,PWRCOAPHLLU,2049,9.6156
PHLLU,PWRCOAPHLLU,2050,9.6156
PHLLU,PWRBIOPHLLU,2020,0
PHLLU,PWRBIOPHLLU,2021,0
PHLLU,PWRBIOPHLLU,2022,0
PHLLU,PWRBIOPHLLU,2023,0
PHLLU,PWRBIOPHLLU,2024,0
PHLLU,PWRBIOPHLLU,2025,0
PHLLU,PWRBIOPHLLU,2026,0
PHLLU,PWRBIOPHLLU,2027,0
PHLLU,PWRBIOPHLLU,2028,0
PHLLU,PWRBIOPHLLU,2029,0
PHLLU,PWRBIOPHLLU,2030,0
PHLLU,PWRBIOPHLLU,2031,0
PHLLU,PWRBIOPHLLU,2032,0
PHLLU,PWRBIOPHLLU,2033,0
