REGION,FUEL,YEAR,VALUE
PHLLU,ELCPHLLU,2015,57.84
PHLLU,ELCPHLLU,2016,63.4
PHLLU,ELCPHLLU,2017,65.93
PHLLU,ELCPHLLU,2018,69.69
PHLLU,ELCPHLLU,2019,74.1
PHLLU,ELCPHLLU,2020,70.5
PHLLU,ELCPHLLU,2021,74.26
PHLLU,ELCPHLLU,2022,75.28
PHLLU,ELCPHLLU,2023,78.8
PHLLU,ELCPHLLU,2024,81.06
PHLLU,ELCPHLLU,2025,87.71
PHLLU,ELCPHLLU,2026,93.13
PHLLU,ELCPHLLU,2027,98.54
PHLLU,ELCPHLLU,2028,103.95
PHLLU,ELCPHLLU,2029,109.38
PHLLU,ELCPHLLU,2030,114.81
PHLLU,ELCPHLLU,2031,121.18
PHLLU,ELCPHLLU,2032,127.55
PHLLU,ELCPHLLU,2033,133.89
PHLLU,ELCPHLLU,2034,140.24
PHLLU,ELCPHLLU,2035,146.58
PHLLU,ELCPHLLU,2036,153.97
PHLLU,ELCPHLLU,2037,161.36
PHLLU,ELCPHLLU,2038,168.76
PHLLU,ELCPHLLU,2039,176.16
PHLLU,ELCPHLLU,2040,183.55
PHLLU,ELCPHLLU,2041,191.41
PHLLU,ELCPHLLU,2042,199.29
PHLLU,ELCPHLLU,2043,207.17
PHLLU,ELCPHLLU,2044,215.01
PHLLU,ELCPHLLU,2045,222.82
PHLLU,ELCPHLLU,2046,231.13
PHLLU,ELCPHLLU,2047,239.49
PHLLU,ELCPHLLU,2048,247.85
PHLLU,ELCPHLLU,2049,256.2
PHLLU,ELCPHLLU,2050,264.56
PHLLU,ELCREPHLLU,2015,0
PHLLU,ELCREPHLLU,2016,0
PHLLU,ELCREPHLLU,2017,0
PHLLU,ELCREPHLLU,2018,0
PHLLU,ELCREPHLLU,2019,0
PHLLU,ELCREPHLLU,2020,0
PHLLU,ELCREPHLLU,2021,0
PHLLU,ELCREPHLLU,2022,0
PHLLU,ELCREPHLLU,2023,0
PHLLU,ELCREPHLLU,2024,0
PHLLU,ELCREPHLLU,2025,0
PHLLU,ELCREPHLLU,2026,0
PHLLU,ELCREPHLLU,2027,0
PHLLU,ELCREPHLLU,2028,0
PHLLU,ELCREPHLLU,2029,0
PHLLU,ELCREPHLLU,2030,58.6
PHLLU,ELCREPHLLU,2031,61.9
PHLLU,ELCREPHLLU,2032,65.2
PHLLU,ELCREPHLLU,2033,68.5
PHLLU,ELCREPHLLU,2034,71.8
PHLLU,ELCREPHLLU,2035,75.1
PHLLU,ELCREPHLLU,2036,78.9
PHLLU,ELCREPHLLU,2037,82.8
PHLLU,ELCREPHLLU,2038,86.6
PHLLU,ELCREPHLLU,2039,90.4
PHLLU,ELCREPHLLU,2040,94.2
PHLLU,ELCREPHLLU,2041,98.3
PHLLU,ELCREPHLLU,2042,102.4
PHLLU,ELCREPHLLU,2043,106.4
PHLLU,ELCREPHLLU,2044,110.5
PHLLU,ELCREPHLLU,2045,163.7
PHLLU,ELCREPHLLU,2046,169.8
PHLLU,ELCREPHLLU,2047,176
PHLLU,ELCREPHLLU,2048,182.2
PHLLU,ELCREPHLLU,2049,188.4
PHLLU,ELCREPHLLU,2050,194.6
