REGION,TECHNOLOGY,YEAR,VALUE
PHLLU,PWRCOAPHLLU,2020,9.7656
PHLLU,PWRCOAPHLLU,2021,9.7656
PHLLU,PWRCOAPHLLU,2022,9.7656
PHLLU,PWRCOAPHLLU,2023,9.7656
PHLLU,PWRCOAPHLLU,2024,10.2156
PHLLU,PWRCOAPHLLU,2025,10.2156
PHLLU,PWRCOAPHLLU,2026,10.3506
PHLLU,PWRCOAPHLLU,2027,10.3506
PHLLU,PWRCOAPHLLU,2028,10.3506
PHLLU,PWRCOAPHLLU,2029,10.3506
PHLLU,PWRCOAPHLLU,2030,10.3506
PHLLU,PWRCOAPHLLU,2031,10.3506
PHLLU,PWRCOAPHLLU,2032,10.3506
PHLLU,PWRCOAPHLLU,2033,10.3506
PHLLU,PWRCOAPHLLU,2034,10.3506
PHLLU,PWRCOAPHLLU,2035,10.3506
PHLLU,PWRCOAPHLLU,2036,10.3506
PHLLU,PWRCOAPHLLU,2037,10.3506
PHLLU,PWRCOAPHLLU,2038,10.3506
PHLLU,PWRCOAPHLLU,2039,10.3506
PHLLU,PWRCOAPHLLU,2040,10.3506
PHLLU,PWRCOAPHLLU,2041,10.3506
PHLLU,PWRCOAPHLLU,2042,10.3506
PHLLU,PWRCOAPHLLU,2043,10.3506
PHLLU,PWRCOAPHLLU,2044,10.3506
PHLLU,PWRCOAPHLLU,2045,10.3506
PHLLU,PWRCOAPHLLU,2046,10.3506
PHLLU,PWRCOAPHLLU,2047,10.3506
PHLLU,PWRCOAPHLLU,2048,10.3506
PHLLU,PWRCOAPHLLU,2049,10.3506
PHLLU,PWRCOAPHLLU,2050,10.3506
PHLLU,PWRBIOPHLLU,2020,0
PHLLU,PWRBIOPHLLU,2021,0
PHLLU,PWRBIOPHLLU,2022,0
PHLLU,PWRBIOPHLLU,2023,0
PHLLU,PWRBIOPHLLU,2024,0.025282
PHLLU,PWRBIOPHLLU,2025,0.025282
PHLLU,PWRBIOPHLLU,2026,0.025282
PHLLU,PWRBIOPHLLU,2027,0.025282
PHLLU,PWRBIOPHLLU,2028,0.025282
PHLLU,PWRBIOPHLLU,2029,0.025282
PHLLU,PWRBIOPHLLU,2030,0.025282
PHLLU,PWRBIOPHLLU,2031,0.025282
PHLLU,PWRBIOPHLLU,2032,0.025282
PHLLU,PWRBIOPHLLU,2033,0.025282
PHLLU,PWRBIOPHLLU,2034,0.025282
PHLLU,PWRBIOPHLLU,2035,0.025282
PHLLU,PWRBIOPHLLU,2036,0.025282
PHLLU,PWRBIOPHLLU,2037,0.025282
PHLLU,PWRBIOPHLLU,2038,0.025282
PHLLU,PWRBIOPHLLU,2039,0.025282
PHLLU,PWRBIOPHLLU,2040,0.025282
PHLLU,PWRBIOPHLLU,2041,0.025282
PHLLU,PWRBIOPHLLU,2042,0.025282
PHLLU,PWRBIOPHLLU,2043,0.025282
PHLLU,PWRBIOPHLLU,2044,0.025282
PHLLU,PWRBIOPHLLU,2045,0.025282
PHLLU,PWRBIOPHLLU,2046,0.025282
PHLLU,PWRBIOPHLLU,2047,0.025282
PHLLU,PWRBIOPHLLU,2048,0.025282
PHLLU,PWRBIOPHLLU,2049,0.025282
PHLLU,PWRBIOPHLLU,2050,0.025282
PHLLU,PWRGASPHLLU,2020,0
PHLLU,PWRGASPHLLU,2021,0
PHLLU,PWRGASPHLLU,2022,0
PHLLU,PWRGASPHLLU,2023,0
PHLLU,PWRGASPHLLU,2024,1.32
PHLLU,PWRGASPHLLU,2025,1.32
PHLLU,PWRGASPHLLU,2026,1.32
PHLLU,PWRGASPHLLU,2027,1.32
PHLLU,PWRGASPHLLU,2028,1.32
PHLLU,PWRGASPHLLU,2029,1.32
PHLLU,PWRGASPHLLU,2030,1.32
PHLLU,PWRGASPHLLU,2031,1.32
PHLLU,PWRGASPHLLU,2032,1.32
PHLLU,PWRGASPHLLU,2033,1.32
PHLLU,PWRGASPHLLU,2034,1.32
PHLLU,PWRGASPHLLU,2035,1.32
PHLLU,PWRGASPHLLU,2036,1.32
PHLLU,PWRGASPHLLU,2037,1.32
PHLLU,PWRGASPHLLU,2038,1.32
PHLLU,PWRGASPHLLU,2039,1.32
PHLLU,PWRGASPHLLU,2040,1.32
PHLLU,PWRGASPHLLU,2041,1.32
PHLLU,PWRGASPHLLU,2042,1.32
