TIMESLICE,YEAR,VALUE
S1D1H1,2020,0.041666667
S1D1H2,2020,0.041666667
S1D1H3,2020,0.041666667
S1D1H4,2020,0.041666667
S1D1H5,2020,0.041666667
S1D1H6,2020,0.041666667
S1D2H1,2020,0.041666667
S1D2H2,2020,0.041666667
S1D2H3,2020,0.041666667
S1D2H4,2020,0.041666667
S1D2H5,2020,0.041666667
S1D2H6,2020,0.041666667
S2D1H1,2020,0.041666667
S2D1H2,2020,0.041666667
S2D1H3,2020,0.041666667
S2D1H4,2020,0.041666667
S2D1H5,2020,0.041666667
S2D1H6,2020,0.041666667
S2D2H1,2020,0.041666667
S2D2H2,2020,0.041666667
S2D2H3,2020,0.041666667
S2D2H4,2020,0.041666667
S2D2H5,2020,0.041666667
S2D2H6,2020,0.041666667
S1D1H1,2021,0.041666667
S1D1H2,2021,0.041666667
S1D1H3,2021,0.041666667
S1D1H4,2021,0.041666667
S1D1H5,2021,0.041666667
S1D1H6,2021,0.041666667
S1D2H1,2021,0.041666667
S1D2H2,2021,0.041666667
S1D2H3,2021,0.041666667
S1D2H4,2021,0.041666667
S1D2H5,2021,0.041666667
S1D2H6,2021,0.041666667
S2D1H1,2021,0.041666667
S2D1H2,2021,0.041666667
S2D1H3,2021,0.041666667
S2D1H4,2021,0.041666667
S2D1H5,2021,0.041666667
S2D1H6,2021,0.041666667
S2D2H1,2021,0.041666667
S2D2H2,2021,0.041666667
S2D2H3,2021,0.041666667
S2D2H4,2021,0.041666667
S2D2H5,2021,0.041666667
S2D2H6,2021,0.041666667
S1D1H1,2022,0.041666667
S1D1H2,2022,0.041666667
S1D1H3,2022,0.041666667
S1D1H4,2022,0.041666667
S1D1H5,2022,0.041666667
S1D1H6,2022,0.041666667
S1D2H1,2022,0.041666667
S1D2H2,2022,0.041666667
S1D2H3,2022,0.041666667
S1D2H4,2022,0.041666667
S1D2H5,2022,0.041666667
S1D2H6,2022,0.041666667
S2D1H1,2022,0.041666667
S2D1H2,2022,0.041666667
S2D1H3,2022,0.041666667
S2D1H4,2022,0.041666667
S2D1H5,2022,0.041666667
S2D1H6,2022,0.041666667
S2D2H1,2022,0.041666667
S2D2H2,2022,0.041666667
S2D2H3,2022,0.041666667
S2D2H4,2022,0.041666667
S2D2H5,2022,0.041666667
S2D2H6,2022,0.041666667
S1D1H1,2023,0.041666667
S1D1H2,2023,0.041666667
S1D1H3,2023,0.041666667
S1D1H4,2023,0.041666667
S1D1H5,2023,0.041666667
S1D1H6,2023,0.041666667
S1D2H1,2023,0.041666667
S1D2H2,2023,0.041666667
S1D2H3,2023,0.041666667
S1D2H4,2023,0.041666667
S1D2H5,2023,0.041666667
S1D2H6,2023,0.041666667
S2D1H1,2023,0.041666667
S2D1H2,2023,0.041666667
S2D1H3,2023,0.041666667
S2D1H4,2023,0.041666667
S2D1H5,2023,0.041666667
S2D1H6,2023,0.041666667
S2D2H1,2023,0.041666667
S2D2H2,2023,0.041666667
S2D2H3,2023,0.041666667
S2D2H4,2023,0.041666667
S2D2H5,2023,0.041666667
S2D2H6,2023,0.041666667
S1D1H1,2024,0.041666667
S1D1H2,2024,0.041666667
S1D1H3,2024,0.041666667
S1D1H4,2024,0.041666667
S1D1H5,2024,0.041666667
