REGION,EMISSION,YEAR,VALUE
GLOBAL,CO2,2020,2.3091748
GLOBAL,CO2,2021,2.9747355
GLOBAL,CO2,2022,3.4662589
GLOBAL,CO2,2023,3.9577824
GLOBAL,CO2,2024,4.4493059
GLOBAL,CO2,2025,4.9408293
GLOBAL,CO2,2026,5.5157364
GLOBAL,CO2,2027,6.0873691
GLOBAL,CO2,2028,6.7034979
GLOBAL,CO2,2029,7.3196364
GLOBAL,CO2,2030,7.9388929
GLOBAL,CO2,2031,8.6309599
GLOBAL,CO2,2032,9.3113477
GLOBAL,CO2,2033,9.9916046
GLOBAL,CO2,2034,10.671957
GLOBAL,CO2,2035,11.352214
GLOBAL,CO2,2036,12.111329
GLOBAL,CO2,2037,12.578775
GLOBAL,CO2,2038,13.30496
GLOBAL,CO2,2039,14.031054
GLOBAL,CO2,2040,14.747915
GLOBAL,CO2,2041,15.542663
GLOBAL,CO2,2042,16.309859
GLOBAL,CO2,2043,17.077054
GLOBAL,CO2,2044,17.844249
GLOBAL,CO2,2045,18.611444
GLOBAL,CO2,2046,19.460905
GLOBAL,CO2,2047,20.310455
GLOBAL,CO2,2048,21.159916
GLOBAL,CO2,2049,22.009465
GLOBAL,CO2,2050,22.859014
GLOBAL,CO2,2051,23.928205
GLOBAL,CO2,2052,24.997395
GLOBAL,CO2,2053,26.066586
GLOBAL,CO2,2054,27.135864
GLOBAL,CO2,2055,28.205055
GLOBAL,CO2,2056,29.390302
GLOBAL,CO2,2057,30.575637
GLOBAL,CO2,2058,31.760884
GLOBAL,CO2,2059,32.94622
GLOBAL,CO2,2060,34.131467
GLOBAL,CO2,2061,35.43224
GLOBAL,CO2,2062,36.733013
GLOBAL,CO2,2063,38.033786
GLOBAL,CO2,2064,39.334648
GLOBAL,CO2,2065,40.635421
GLOBAL,CO2,2066,42.058974
GLOBAL,CO2,2067,43.482526
GLOBAL,CO2,2068,44.906079
GLOBAL,CO2,2069,46.32972
GLOBAL,CO2,2070,47.753272
